# ISIZULU SYNONYM ANNOTATION TASK
# human_score_0_to_10 : 0=unrelated, 10=perfect synonyms
# can_substitute      : YES if meaning is preserved when swapped
# noun_class_match    : YES = same isiZulu noun class (more reliable)
query_word,candidate_synonym,cosine_similarity,rank,noun_class_match,model_note,human_score_0_to_10,can_substitute_YES_or_NO,annotator_notes
uzodla,uzocula,0.9401,1,YES,Strong candidate,,,
abonakala,zibonakala,0.9399,2,YES,Strong candidate,,,
zibonakala,abonakala,0.9399,1,YES,Strong candidate,,,
kuhambisana,okuhambisana,0.9398,1,YES,Strong candidate,,,
okuhambisana,kuhambisana,0.9398,2,YES,Strong candidate,,,
premiership,yepremiership,0.9397,1,YES,Strong candidate,,,
yepremiership,premiership,0.9397,1,YES,Strong candidate,,,
unokwanda,usiyanda,0.9395,1,YES,Strong candidate,,,
usiyanda,unokwanda,0.9395,1,YES,Strong candidate,,,
ogezaayo,ogijimaayo,0.9391,3,YES,Strong candidate,,,
ogijimaayo,ogezaayo,0.9391,2,YES,Strong candidate,,,
obonaayo,ovukaayo,0.939,2,YES,Strong candidate,,,
ovukaayo,obonaayo,0.939,2,YES,Strong candidate,,,
uyageza,uyaphuza,0.9387,1,YES,Strong candidate,,,
uyaphuza,uyageza,0.9387,1,YES,Strong candidate,,,
izizukulwane,sezizukulwane,0.9387,1,YES,Strong candidate,,,
sezizukulwane,izizukulwane,0.9387,1,YES,Strong candidate,,,
bayabuya,bayabuza,0.9386,1,YES,Strong candidate,,,
bayabuza,bayabuya,0.9386,1,YES,Strong candidate,,,
cross,c,0.9386,1,YES,Strong candidate,,,
abaqeqeshi,baqeqeshi,0.9385,1,YES,Strong candidate,,,
baqeqeshi,abaqeqeshi,0.9385,1,YES,Strong candidate,,,
ziyacula,ziyadla,0.9381,1,YES,Strong candidate,,,
ziyadla,ziyacula,0.9381,1,YES,Strong candidate,,,
ukuqinisekisile,uqinisekisile,0.9378,1,YES,Strong candidate,,,
uqinisekisile,ukuqinisekisile,0.9378,1,YES,Strong candidate,,,
uyacula,uyajabula,0.9372,1,YES,Strong candidate,,,
uyajabula,uyacula,0.9372,1,YES,Strong candidate,,,
amajazi,amajean,0.937,1,YES,Strong candidate,,,
amajean,amajazi,0.937,1,YES,Strong candidate,,,
obonaayo,osizaayo,0.9369,3,YES,Strong candidate,,,
osizaayo,obonaayo,0.9369,3,YES,Strong candidate,,,
kanjani,nakanjani,0.9368,1,YES,Strong candidate,,,
nakanjani,kanjani,0.9368,1,YES,Strong candidate,,,
oculaayo,odlalaayo,0.9368,7,YES,Strong candidate,,,
odlalaayo,oculaayo,0.9368,2,YES,Strong candidate,,,
imiphumela,miphumela,0.9366,1,YES,Strong candidate,,,
miphumela,imiphumela,0.9366,1,YES,Strong candidate,,,
saseningizimu,seningizimu,0.9363,2,YES,Strong candidate,,,
seningizimu,saseningizimu,0.9363,1,YES,Strong candidate,,,
isibhamu,“isibhamu,0.9359,1,YES,Strong candidate,,,
ohlekaayo,ovukaayo,0.9359,1,YES,Strong candidate,,,
ovukaayo,ohlekaayo,0.9359,3,YES,Strong candidate,,,
amajazi,amajezi,0.9356,2,YES,Strong candidate,,,
amajezi,amajazi,0.9356,1,YES,Strong candidate,,,
abalondolozayo,"abalondolozayo,",0.9355,1,YES,Strong candidate,,,
ilivume,ivume,0.9355,1,YES,Strong candidate,,,
ivume,ilivume,0.9355,1,YES,Strong candidate,,,
mculi,“umculi,0.9354,1,YES,Strong candidate,,,
emakhaya,“emakhaya,0.9353,1,YES,Strong candidate,,,
ngokuhambisana,okuhambisana,0.9352,1,YES,Strong candidate,,,
okuhambisana,ngokuhambisana,0.9352,3,YES,Strong candidate,,,
ziyacula,ziyaphuza,0.9352,2,YES,Strong candidate,,,
ziyaphuza,ziyacula,0.9352,1,YES,Strong candidate,,,
ngemva,“ngemva,0.9348,1,YES,Strong candidate,,,
chief,ichiefs,0.9345,2,YES,Strong candidate,,,
ichiefs,chief,0.9345,2,YES,Strong candidate,,,
zemfuyo,zokulima,0.9342,1,YES,Strong candidate,,,
zokulima,zemfuyo,0.9342,1,YES,Strong candidate,,,
ezokuvakasha,zokuvakasha,0.9341,1,YES,Strong candidate,,,
zokuvakasha,ezokuvakasha,0.9341,1,YES,Strong candidate,,,
buchwepheshe,zobuchwepheshe,0.934,2,YES,Strong candidate,,,
zobuchwepheshe,buchwepheshe,0.934,3,YES,Strong candidate,,,
odlalaayo,osizaayo,0.9339,3,YES,Strong candidate,,,
osizaayo,odlalaayo,0.9339,4,YES,Strong candidate,,,
ezobuchwepheshe,lwezobuchwepheshe,0.9337,3,YES,Strong candidate,,,
lwezobuchwepheshe,ezobuchwepheshe,0.9337,1,YES,Strong candidate,,,
