word1,word2,human_score,Random (lower bound),Char Trigram Jaccard,Word2Vec CBOW,Word2Vec Skip-gram,FastText + Subword (YOURS),Pretrained FT cc.zu.300
isivuno,ukulima,8.2,0.69632,0.0,0.90742,0.704546,0.33553,N/A
imbewu,umhlabathi,7.6,0.446156,0.0,0.973014,0.681724,0.248583,N/A
izitshalo,imifino,8.1,0.381021,0.0,N/A,N/A,0.461844,N/A
inkukhu,izinkomo,7.4,0.301512,0.071429,0.993039,0.5397,0.362777,N/A
ukudla,isipho,2.1,0.630283,0.0,0.987079,0.363116,0.264441,N/A
amalimi,izitshalo,8.0,0.361813,0.0,N/A,N/A,0.479572,N/A
umhlabathi,amanzi,6.8,0.08765,0.0,0.909138,0.424117,0.32988,N/A
imoto,umgwaqo,7.7,0.118006,0.0,N/A,N/A,0.469255,N/A
itekisi,imoto,8.4,0.961898,0.0,0.916228,0.430175,0.426679,N/A
ibhasi,itekisi,8.55,0.908581,0.083333,N/A,N/A,0.537964,N/A
indiza,isikhumulo,8.3,0.699707,0.0,N/A,N/A,0.42037,N/A
umshayeli,imoto,8.2,0.26587,0.0,0.955025,0.514028,0.551915,N/A
isitimela,isiteshi,8.65,0.969176,0.214286,0.954212,0.666627,0.708529,N/A
umgwaqo,ibhuloho,6.9,0.778751,0.0,N/A,N/A,0.519546,N/A
ugandaganda,ukulima,6.5,0.71689,0.0,N/A,N/A,0.341161,N/A
imvula,amanzi,7.8,0.449362,0.0,0.972934,0.885703,0.632858,N/A
ihlathi,izihlahla,8.6,0.272242,0.153846,0.983862,0.648389,0.577901,N/A
intaba,umfula,6.3,0.096391,0.0,0.948868,0.345461,0.476361,N/A
izilwane,isiqiwu,8.1,0.902602,0.0,N/A,N/A,0.551629,N/A
ulwandle,ogwini,8.45,0.455776,0.0,0.977731,0.479385,0.322478,N/A
isomiso,indlala,7.2,0.202363,0.0,N/A,N/A,0.371568,N/A
imvelo,izihlahla,7.9,0.305957,0.0,0.990144,0.356014,0.35254,N/A
iqhwa,ubusika,7.6,0.57922,0.0,0.985399,0.663425,0.594204,N/A
umsakazo,izindaba,8.35,0.176773,0.0,0.998248,0.373294,0.397353,N/A
iphephandaba,intatheli,7.9,0.856614,0.0,N/A,N/A,0.537963,N/A
umabonakude,uhlelo,7.75,0.75852,0.0,0.979356,0.270416,0.281227,N/A
izinkundla,umsakazo,6.8,0.719463,0.0,0.996974,0.418307,0.39363,N/A
isitatimende,izindaba,7.1,0.432093,0.0,0.998435,0.29415,0.209663,N/A
intatheli,izindaba,8.5,0.627309,0.0,N/A,N/A,0.363272,N/A
inkulumo,umhlangano,7.3,0.584098,0.0,0.957216,0.685248,0.412526,N/A
umyalezo,ucingo,6.6,0.649847,0.0,0.990581,0.392121,0.464145,N/A
ibandla,inkonzo,8.7,0.084444,0.0,0.98691,0.740494,0.456887,N/A
umfundisi,ibandla,8.2,0.415807,0.0,0.991025,0.565766,0.410652,N/A
amasiko,isintu,8.8,0.041614,0.0,N/A,N/A,0.571658,N/A
umhlangano,ibandla,7.4,0.493991,0.0,0.993446,0.715048,0.447341,N/A
umcimbi,amasiko,7.6,0.329861,0.0,0.99472,0.23354,0.260106,N/A
inkosi,isizwe,8.1,0.144524,0.0,0.990326,0.229363,0.230783,N/A
induna,isizwe,7.85,0.103403,0.0,0.967693,0.335974,0.33774,N/A
umuntu,ubuntu,8.3,0.587645,0.333333,0.97922,0.874082,0.761808,N/A
imali,ibhange,7.6,0.170593,0.0,0.977502,0.76904,0.37054,N/A
isikweletu,imboleko,8.4,0.92512,0.0,N/A,N/A,0.57542,N/A
inzuzo,ibhizinisi,7.8,0.581061,0.0,0.995235,0.415166,0.356875,N/A
intela,uhulumeni,7.2,0.34687,0.0,0.994002,0.566131,0.493748,N/A
uxhaso,imali,7.5,0.590915,0.0,0.961503,0.299623,0.408851,N/A
isibonelelo,uhulumeni,7.1,0.022804,0.0,N/A,N/A,0.402672,N/A
ukonga,ibhange,7.9,0.958559,0.0,0.990658,0.860199,0.624442,N/A
impesheni,abantu abadala,7.4,0.482303,0.0,N/A,N/A,0.545311,N/A
umsebenzi,inkampani,7.7,0.782735,0.0,0.970941,0.183192,0.427988,N/A
umqashi,isisebenzi,8.4,0.08273,0.0,N/A,N/A,0.414184,N/A
iholo,umsebenzi,7.9,0.486658,0.0,N/A,N/A,0.325742,N/A
isinyunyana,abasebenzi,8.6,0.490707,0.0,N/A,N/A,0.439586,N/A
ukuqashwa,umsebenzi,8.1,0.937826,0.0,0.972149,0.434632,0.357995,N/A
ukuxoshwa,umsebenzi,7.3,0.571728,0.0,N/A,N/A,0.299982,N/A
ihovisi,umsebenzi,7.2,0.473489,0.0,N/A,N/A,0.305317,N/A
amakhono,umsebenzi,7.0,0.266976,0.0,0.975052,0.113808,0.205691,N/A
injabulo,ukujabula,9.2,0.331569,0.214286,N/A,N/A,0.858621,N/A
ubuhlungu,ukukhala,7.8,0.520672,0.0,N/A,N/A,0.465105,N/A
ithemba,injabulo,6.9,0.438911,0.0,N/A,N/A,0.44867,N/A
ukuzisola,ubuhlungu,7.1,0.021612,0.0,N/A,N/A,0.468737,N/A
ukuphumula,ubuthongo,7.6,0.826292,0.0,N/A,N/A,0.314541,N/A
ukuphila,impilo,9.0,0.896161,0.0,0.974414,0.273381,0.262799,N/A
ukukhathazeka,ubuhlungu,7.4,0.140249,0.0,N/A,N/A,0.371384,N/A
isibindi,ithemba,6.5,0.554036,0.0,0.992731,0.595454,0.36225,N/A
umfula,isivumelwano,0.75,0.108576,0.0,0.956776,0.189802,0.290405,N/A
inkukhu,inkantolo,0.8,0.67224,0.142857,0.981995,0.411802,0.395164,N/A
imbewu,umrepha,0.9,0.281234,0.0,0.969533,0.591657,0.449607,N/A
ibhuloho,icwecwe,0.85,0.659423,0.0,N/A,N/A,0.415224,N/A
ugogo,isibhamu,0.7,0.726995,0.0,0.995669,0.214319,0.347423,N/A
imvula,ummeli,0.8,0.768647,0.0,0.212348,0.404919,0.515857,N/A
ihlathi,iholo,0.75,0.107741,0.090909,N/A,N/A,0.448291,N/A
iqhwa,umqashi,0.85,0.916012,0.0,N/A,N/A,0.625457,N/A
ibandla,ugandaganda,0.7,0.230214,0.071429,N/A,N/A,0.430938,N/A
isinyunyana,ulwandle,0.8,0.037413,0.0,N/A,N/A,0.452927,N/A
indlu,ikhaya,8.8,0.554852,0.0,0.993245,0.819194,0.65624,N/A
ukwakha,unjiniyela,7.9,0.370922,0.0,N/A,N/A,0.310634,N/A
isakhiwo,indlu,8.5,0.82979,0.0,N/A,N/A,0.555986,N/A
ibhuloho,umgwaqo,7.4,0.808251,0.0,N/A,N/A,0.519546,N/A
ingqalasizinda,ukwakha,7.8,0.317139,0.0,0.994148,0.392743,0.386789,N/A
ikamelo,indlu,8.6,0.952899,0.0,N/A,N/A,0.488352,N/A
uphahla,izindonga,7.7,0.290918,0.0,N/A,N/A,0.540163,N/A
isakhiwo,umseki,7.2,0.515057,0.0,N/A,N/A,0.324964,N/A
impi,izikhali,8.4,0.255965,0.0,N/A,N/A,0.327509,N/A
ukubulawa,udlame,8.2,0.936044,0.0,N/A,N/A,0.407828,N/A
isidakamizwa,ubugebengu,7.6,0.164608,0.0,N/A,N/A,0.570458,N/A
ukuphanga,isigebengu,8.3,0.044911,0.0,N/A,N/A,0.562976,N/A
umkhosi,izikhali,7.9,0.435097,0.0,N/A,N/A,0.409409,N/A
ukuhlaselwa,impi,8.1,0.992376,0.0,N/A,N/A,0.279194,N/A
isiboshwa,ejele,8.7,0.891677,0.0,N/A,N/A,0.651628,N/A
umlilo,ingozi,6.8,0.748608,0.0,N/A,N/A,0.404356,N/A
izingubo,isikhumba,5.9,0.890792,0.0,N/A,N/A,0.377504,N/A
izicathulo,izingubo,7.2,0.893447,0.125,N/A,N/A,0.674691,N/A
isigqoko,izingubo,7.6,0.518858,0.0,N/A,N/A,0.382364,N/A
ukugqoka,isimilo,3.4,0.315929,0.0,N/A,N/A,0.462424,N/A
ubuhle,isimilo,5.5,0.772012,0.0,0.993077,0.304944,0.399371,N/A
iminwe,izandla,8.4,0.661661,0.0,N/A,N/A,0.293312,N/A
ubuso,amehlo,7.8,0.373658,0.0,0.985501,0.478192,0.375932,N/A
ikhanda,ubuso,7.5,0.094467,0.0,0.98143,0.477179,0.420432,N/A
ibhubesi,ingwe,8.1,0.74679,0.0,N/A,N/A,0.619403,N/A
indlovu,ibhubesi,7.4,0.262461,0.0,N/A,N/A,0.475821,N/A
imvubu,amanzi,6.2,0.936813,0.0,N/A,N/A,0.547943,N/A
inyoka,ingozi,5.8,0.240971,0.090909,N/A,N/A,0.539006,N/A
inyoni,umkhathi,5.6,0.122758,0.0,N/A,N/A,0.355088,N/A
inkomo,inkukhu,6.8,0.831113,0.181818,N/A,N/A,0.619921,N/A
inja,ikati,7.9,0.153284,0.0,0.997651,0.9519,0.867967,N/A
ibhubesi,isiqiwu,7.5,0.179268,0.0,N/A,N/A,0.577439,N/A
ihlobo,ilanga,7.3,0.599383,0.0,N/A,N/A,0.449108,N/A
ubusika,imvula,6.9,0.874562,0.0,0.968632,0.620886,0.623395,N/A
uJanuwari,uDisemba,7.1,0.196435,0.0,N/A,N/A,0.412242,N/A
isikhathi,unyaka,7.6,0.310324,0.0,0.979975,0.425771,0.268691,N/A
usuku,ubusuku,8.2,0.777405,0.5,0.979854,0.613237,0.861074,N/A
isonto,inyanga,7.4,0.971826,0.0,0.988799,0.660623,0.393371,N/A
ekuseni,ntambama,7.8,0.500741,0.0,0.996819,0.472375,0.300735,N/A
ebusuku,ekuseni,7.5,0.143898,0.0,0.991496,0.316125,0.359518,N/A
amanzi,iziphuzo,7.8,0.013936,0.0,0.917521,0.378329,0.40162,N/A
inyama,ukudla,8.3,0.229656,0.0,0.98909,0.663985,0.375939,N/A
isinkwa,ukudla,8.1,0.131822,0.0,0.979184,0.802383,0.370755,N/A
utshwala,iziphuzo,8.5,0.677659,0.0,N/A,N/A,0.377965,N/A
itiye,ikhofi,8.4,0.121833,0.0,N/A,N/A,0.238755,N/A
imifino,ukudla,7.9,0.50633,0.0,0.987658,0.473609,0.435676,N/A
isitsha,ukudla,6.7,0.694262,0.0,0.978043,0.441392,0.301638,N/A
umlilo,ukupheka,7.6,0.581117,0.0,N/A,N/A,0.351892,N/A
inkulisa,isikole,7.8,0.199776,0.0,N/A,N/A,0.361604,N/A
ingane,isikole,7.2,0.804125,0.0,0.988839,0.280208,0.325384,N/A
ukufunda,ukubhala,8.6,0.715407,0.142857,0.97892,0.375647,0.432101,N/A
ibhuku,isikole,7.9,0.738984,0.0,N/A,N/A,0.432161,N/A
uthisha,inkulisa,7.4,0.131058,0.0,N/A,N/A,0.505332,N/A
ukudweba,ukufunda,5.8,0.123754,0.142857,0.968609,0.324687,0.412849,N/A
iphepha,ukubhala,8.3,0.927563,0.0,0.994782,0.716548,0.54541,N/A
ibhiro,isikole,7.1,0.397578,0.0,N/A,N/A,0.27221,N/A
ukudweba,ubuciko,8.4,0.300949,0.0,N/A,N/A,0.3963,N/A
umlingisi,umdlalo,8.1,0.488584,0.066667,0.993475,0.506839,0.44946,N/A
umculi,ingoma,8.7,0.662864,0.0,0.995017,0.528846,0.489624,N/A
ubuciko,isakhiwo,5.4,0.955623,0.0,N/A,N/A,0.409131,N/A
ithoyizi,ingane,6.8,0.286446,0.0,0.987881,0.543025,0.39857,N/A
ifilimu,umlingisi,8.2,0.924808,0.0,N/A,N/A,0.464629,N/A
izithombe,ukudweba,7.9,0.024859,0.0,0.985288,0.640812,0.590807,N/A
umbhali,incwadi,8.5,0.555198,0.0,0.992623,0.905778,0.530254,N/A
uhambo,izokuvakasha,8.6,0.633975,0.0,N/A,N/A,0.312715,N/A
ihhotela,izivakashi,8.9,0.105897,0.0,0.989031,0.285693,0.619934,N/A
ugugula,uhambo,7.4,0.14034,0.0,N/A,N/A,0.367303,N/A
isiqiwu,izilwane,8.3,0.419114,0.0,N/A,N/A,0.551629,N/A
inkundla,umcimbi,7.8,0.966232,0.0,0.992445,0.586499,0.44286,N/A
ubumnandi,ukujabula,8.7,0.596043,0.0,N/A,N/A,0.492593,N/A
uhlelo,umcimbi,7.2,0.933023,0.0,0.989467,0.267398,0.26546,N/A
isikhumulwezindiza,uhambo,7.9,0.804361,0.0,N/A,N/A,0.324286,N/A
amalungelo,umthetho,7.6,0.467382,0.0,0.986077,0.636862,0.501379,N/A
ubulungiswa,inkantolo,7.8,0.784763,0.0,N/A,N/A,0.522056,N/A
ukuxhashazwa,udlame,8.2,0.017837,0.0,N/A,N/A,0.544404,N/A
inkululeko,amalungelo,8.5,0.109144,0.0,N/A,N/A,0.474293,N/A
ubandlululo,ukucwaswa,8.6,0.829429,0.0,N/A,N/A,0.560712,N/A
uxolo,ubulungiswa,6.9,0.796817,0.0,N/A,N/A,0.612787,N/A
inhlalo,umphakathi,8.1,0.232641,0.0,N/A,N/A,0.307502,N/A
ubuntu,inhlalo,7.4,0.53077,0.0,N/A,N/A,0.422087,N/A
isifundazwe,idolobha,7.2,0.606016,0.0,N/A,N/A,0.341204,N/A
izwe,umbuso,7.8,0.867739,0.0,0.991644,0.383844,0.334446,N/A
iKwaZulu-Natal,iTheku,7.6,0.603107,0.0,N/A,N/A,0.428878,N/A
eGoli,iJozi,9.4,0.412572,0.0,N/A,N/A,0.427192,N/A
iNingizimu Afrika,izwe,8.1,0.374184,0.0,N/A,N/A,0.350106,N/A
isifunda,umasipala,7.5,0.425882,0.0,N/A,N/A,0.31972,N/A
eSoweto,eGoli,7.8,0.651931,0.0,N/A,N/A,0.456361,N/A
iKapa,iNingizimu Afrika,7.3,0.867491,0.047619,N/A,N/A,0.034458,N/A
ibhubesi,isikweletu,0.65,0.453897,0.0,0.953667,0.632827,0.481431,N/A
ukufunda,udlame,0.8,0.24784,0.0,N/A,N/A,0.472743,N/A
ikhofi,inkantolo,0.7,0.236662,0.0,0.976846,0.461603,0.357274,N/A
inyoka,ibhange,0.75,0.746014,0.0,N/A,N/A,0.444981,N/A
uphahla,ingoma,0.8,0.816569,0.0,N/A,N/A,0.328846,N/A
ubusika,umqashi,0.7,0.105278,0.0,N/A,N/A,0.615546,N/A
isigqoko,ubunhloli,0.65,0.066559,0.0,0.997862,0.417233,0.457793,N/A
imvubu,i-albhamu,0.75,0.594434,0.0,N/A,N/A,0.399524,N/A
itiye,isiboshwa,0.7,0.146173,0.0,N/A,N/A,0.480601,N/A
ukudweba,impi,0.8,0.824664,0.0,N/A,N/A,0.243055,N/A
ibhasi,ibandla,0.75,0.310335,0.083333,N/A,N/A,0.468612,N/A
isonto,isibhamu,0.65,0.143872,0.076923,0.993227,0.355046,0.45964,N/A
