word1,word2,strategy,detail,cosine_similarity,human_score,in_vocab
umnotho,umfanafuthi,morphological,class1_singular,0.106387,0.269471,Both
uyahlinzeka,uphiwe,morphological,class11,0.232332,0.357632,Both
kuvumela,odokotela,cooccurrence,freq=2,0.201501,0.306051,Both
isikole,incwadi,semantic_within,education,0.30406,0.437842,Both
(saps),824),random_unrelated,,0.569717,0.443802,Both
usemncane,untencane,morphological,class11,0.656014,0.65421,Both
enoordgesig,ngipaka,random_unrelated,,0.486591,0.385614,Both
isikole,isivivinyo,semantic_within,education,0.232301,0.387611,Both
upheka,ubuhlungu,morphological,class11,0.183953,0.323767,Both
bethumela,nokuwuhambo,random_unrelated,,0.362224,0.298557,Both
zokuzithutha,sikhulile.,random_unrelated,,0.173793,0.166655,Both
isibalo,usukule,random_unrelated,,0.335673,0.279971,Both
umphakathi.,esithangamini,random_unrelated,,0.177984,0.169589,Both
568),"ngehhashi,",random_unrelated,,0.392031,0.319422,Both
ngokuvela,se-house,random_unrelated,,0.531977,0.417384,Both
uzodla,uhlabisa.,morphological,class11,0.300176,0.405123,Both
izihlobo,izindlu.,morphological,class8_plural,0.188275,0.326792,Both
obukhulu,umsebenzi,cooccurrence,freq=794,0.191337,0.298936,Both
eminingi,esinzima,cooccurrence,freq=2,0.118811,0.248168,Both
ezomthetho,ngomoya,cooccurrence,freq=92,0.147881,0.268517,Both
amade,yize,cooccurrence,freq=6,0.100062,0.235043,Both
eseport,esikoleni.”,random_unrelated,,0.283722,0.243605,Both
indiza,uhambo,semantic_within,transport,0.327676,0.454374,Both
"ngokufanele,",livunye,random_unrelated,,0.096903,0.112832,Both
ukuthokozisa,ukusakazeka.,morphological,class15_infinitive,0.130643,0.28645,Both
ebusuku,siqaphe,cooccurrence,freq=2,0.066798,0.211759,Both
bezikole,ibhukule,random_unrelated,,0.245782,0.217047,Both
ilanga,ziyadabukisa,cooccurrence,freq=2,0.283259,0.363281,Both
uxaba.,uzophokophelela,morphological,class11,0.323674,0.421572,Both
umnyango,liqede,random_unrelated,,0.463827,0.369679,Both
uthisha,ukufunda,semantic_within,education,0.246113,0.397279,Both
ngakho-ke,yothando,cooccurrence,freq=184,0.205478,0.308835,Both
izinkomo,izinja,semantic_within,animals,0.449172,0.53942,Both
ngezinkomo,ahlukene.,random_unrelated,,0.373832,0.306683,Both
baqonda,bezikhungo,cooccurrence,freq=70,0.097974,0.233582,Both
ukwelapha,impilo,semantic_within,health,0.098701,0.294091,Both
iphepha,umtapo,semantic_within,education,0.402212,0.506548,Both
kwethu.,anjalo,random_unrelated,,0.06186,0.088302,Both
engikuqaphelile,uvame,random_unrelated,,0.290368,0.248257,Both
unyaka,uthatha,morphological,class11,0.219903,0.348932,Both
ukuxhumana,ukuziphatha,morphological,class15_infinitive,0.260532,0.377372,Both
abantwana,ngemfundo,cooccurrence,freq=8,0.343572,0.4055,Both
abanakekeli,"eminingi,",cooccurrence,freq=8,0.18068,0.291476,Both
umrepha,umbhalo,semantic_within,music,0.503399,0.577379,Both
isinkwa,indoda,semantic_across,food_vs_family,0.170954,0.209668,Both
oluthathwa,sakubo,cooccurrence,freq=112,0.349855,0.409899,Both
ikhono,i-affinity,morphological,class5_singular,0.216642,0.346649,Both
okwamanje,unomvula,cooccurrence,freq=50,0.374192,0.426934,Both
nokubambisana,sesingcono.,random_unrelated,,0.24387,0.215709,Both
usuvuleke,ubabone.,morphological,class11,0.350154,0.440108,Both
ungakanani,uzofihla,morphological,class11,0.553506,0.582454,Both
sikhulile.,asahamba,random_unrelated,,0.245334,0.216734,Both
wasenyuvesi,zomphakathi,cooccurrence,freq=116,0.303334,0.377334,Both
bafeza,emifundazweni,cooccurrence,freq=4,0.391138,0.438797,Both
okhwehlelayo,wobuthishela,random_unrelated,,0.407487,0.330241,Both
injabulo,ophekaayo,cooccurrence,freq=10,0.321029,0.38972,Both
ngendlela,zokusebenza,cooccurrence,freq=38,0.158976,0.276283,Both
ikhulume,i-african,morphological,class5_singular,0.180796,0.321557,Both
ohlanganise,bukachonco.,random_unrelated,,0.299472,0.25463,Both
akho.,konke,cooccurrence,freq=2,0.205149,0.308604,Both
isibuko,yingoma,random_unrelated,,0.521529,0.41007,Both
umhlaba.,kwayo.,random_unrelated,,0.401321,0.325925,Both
kokuthanda,sport.,random_unrelated,,0.237796,0.211457,Both
ukhala,yenewcastle,cooccurrence,freq=2,0.152533,0.271773,Both
lwaze,lwezobunhloli,cooccurrence,freq=4,0.706666,0.659666,Both
ikhofi,ibiyinhle,morphological,class5_singular,0.401971,0.47638,Both
ibhola,imidlalo,semantic_within,sport,0.236661,0.390663,Both
abanye,sokwenza,cooccurrence,freq=568,0.150289,0.270202,Both
inkampani,idola,semantic_within,money,0.383033,0.493123,Both
amakhono,lwamahhala,cooccurrence,freq=2,0.172144,0.285501,Both
ubhuti,"usuxoshiwe,""",morphological,class11,0.24395,0.365765,Both
uphuma,usufikile,morphological,class11,0.534035,0.568824,Both
ukuphila,ukupholishwa,morphological,class15_infinitive,0.254016,0.372811,Both
unokufa,usucabanga,morphological,class11,0.409658,0.48176,Both
"ezimbalwa,",omkhulu,cooccurrence,freq=26,0.139586,0.26271,Both
ngabomnyango,embukisweni,random_unrelated,,0.525061,0.412543,Both
"emikhulu,",ubuqhawe,cooccurrence,freq=52,0.186437,0.295506,Both
zesizwe,zokuthengisa,cooccurrence,freq=2,0.239528,0.33267,Both
nabafundi,lisetshenziswa,random_unrelated,,0.304669,0.258268,Both
abagqi,esiqinile,cooccurrence,freq=52,0.101273,0.235891,Both
ithengela,ibingadlalisi,morphological,class5_singular,0.333387,0.428371,Both
kungesize,ngalutho,cooccurrence,freq=2,0.580094,0.571066,Both
lutholwe,335),random_unrelated,,0.440331,0.353232,Both
ababekwa,icala,cooccurrence,freq=2,0.496342,0.512439,Both
indlu,unozipho,cooccurrence,freq=46,0.334374,0.399062,Both
ukuvezwa,ukufakwa,morphological,class15_infinitive,0.592148,0.609504,Both
uzithele,usizwe,morphological,class11,0.252564,0.371794,Both
akashongo,"umculo,",random_unrelated,,0.348082,0.288657,Both
umnyango,zokuphela,cooccurrence,freq=2,0.268876,0.353213,Both
umfana,umbuso,semantic_across,family_vs_government,0.497726,0.438408,Both
"omculo,",izicathulo,random_unrelated,,0.195113,0.181579,Both
inhlungu,izinsizwa,cooccurrence,freq=242,0.141894,0.264326,Both
ubufakazi,uukuthi,morphological,class11,0.253702,0.372592,Both
zezenhlalo,zasekapa,random_unrelated,,0.088604,0.107023,Both
ngenxa,wafunda,cooccurrence,freq=30,0.017118,0.176982,Both
bazizwa,namaphuzu,random_unrelated,,0.169475,0.163632,Both
"abaswele,",abanolona,morphological,class2_plural,0.185629,0.324941,Both
usehoxa,usizwa,morphological,class11,0.423966,0.491776,Both
isifundo.,iseyimfuneko,morphological,class7_singular,0.232154,0.357508,Both
ngokuqondile.,wahosha,random_unrelated,,0.113222,0.124255,Both
ezintabeni,ozimisele,cooccurrence,freq=6,0.265519,0.350863,Both
ngokubona,owesifazane,cooccurrence,freq=14,0.35503,0.413521,Both
"emfundweni,",esizosiza,random_unrelated,,0.182939,0.173057,Both
ukujabulisa,ukhwezi,morphological,class15_infinitive,0.315294,0.415706,Both
ababhekene,ebusweni,random_unrelated,,0.161126,0.157788,Both
isikole.,kimi.,random_unrelated,,0.408553,0.330987,Both
mtshali.,ngangabe,random_unrelated,,0.292635,0.249844,Both
"ubufakazi,",ubingelelwa,morphological,class11,0.513913,0.554739,Both
ubuholi,uthuli,morphological,class11,0.353405,0.442383,Both
izibonelo,izenzo,morphological,class8_plural,0.259755,0.376828,Both
okungajwayelekile,"harvest,",random_unrelated,,0.611551,0.473086,Both
usbahle.,emercedes,random_unrelated,,0.489643,0.38775,Both
bagxeka,intela,random_unrelated,,0.552307,0.431615,Both
kugwema,kunika,cooccurrence,freq=2,0.506835,0.519784,Both
uphiwayinkosi,uthola,morphological,class11,0.266128,0.38129,Both
uthisha,imfundo,semantic_within,education,0.123414,0.31139,Both
"ukulingana,",ukwehlisa,morphological,class15_infinitive,0.064842,0.240389,Both
amaphoyisa,icala,semantic_within,police_law,0.437541,0.531278,Both
uphahla.,uphuze,morphological,class11,0.529482,0.565638,Both
kokunqena.,singabaqeqeshi,random_unrelated,,0.235298,0.209709,Both
okufakazelwa,653),random_unrelated,,0.23833,0.211831,Both
abakhulumi,abafowethu,morphological,class2_plural,0.531669,0.567169,Both
yini.izokwenza,ubongani,random_unrelated,,0.149846,0.149892,Both
abafundisi,baqhubeka,cooccurrence,freq=164,0.167115,0.281981,Both
ukusebenza,zokwelashwa,cooccurrence,freq=172,0.134513,0.259159,Both
nezmqoka,ngaphakathi,random_unrelated,,0.301374,0.255962,Both
engidinga,ngoba,cooccurrence,freq=2,-0.125364,0.077245,Both
kungakho,wase,cooccurrence,freq=2,0.255222,0.343655,Both
u-major,ungakhohlwa,morphological,class11,0.509258,0.551481,Both
ilotsholwe,ikhipha,morphological,class5_singular,0.528656,0.565059,Both
uhambe,ubuyela,morphological,class11,0.377311,0.459117,Both
abavela,sepaki,random_unrelated,,0.229388,0.205572,Both
ulwandle,amanzi,semantic_within,nature,0.336316,0.460421,Both
umfazi,ingane,semantic_within,family,0.403433,0.507403,Both
maphorisa,kumenywe,random_unrelated,,0.610364,0.472255,Both
ugcwele,ubungozi,morphological,class11,0.140601,0.29342,Both
ukwelapha,isifo,semantic_within,health,0.507726,0.580408,Both
mothoalo,kungani,random_unrelated,,0.296437,0.252506,Both
kodwa,uyasebenza,cooccurrence,freq=36,0.252977,0.342084,Both
(70+%).,yokusebenzisa,random_unrelated,,0.28837,0.246859,Both
ubekhuluma,uphethwe,morphological,class11,0.345363,0.436754,Both
efanele,izidingo,cooccurrence,freq=194,0.059297,0.206508,Both
esihlahleni,lapho,cooccurrence,freq=2,0.130016,0.256012,Both
kwazo.,umuntu,cooccurrence,freq=2,0.032041,0.187429,Both
police,we-south,cooccurrence,freq=2,0.846879,0.757815,Both
kukafakazi.,r900,random_unrelated,,0.662444,0.508711,Both
ekhaya,"kokunqena,",cooccurrence,freq=30,0.202793,0.306955,Both
isibhamu,isiteshi,semantic_within,police_law,0.487631,0.566342,Both
ufake,ujose,morphological,class11,0.580384,0.601269,Both
ngesandla,sweetman.,random_unrelated,,0.411119,0.332783,Both
ngenze,okudingeka,random_unrelated,,0.266887,0.231821,Both
akazi,ingashiyi,random_unrelated,,0.463294,0.369306,Both
ukukhuthazana,"ukuxhumana,",morphological,class15_infinitive,0.317578,0.417305,Both
enkantolo,waphendula,cooccurrence,freq=6,0.29697,0.372879,Both
ngobulungiswa,uyaphumelela,cooccurrence,freq=48,0.297889,0.373522,Both
ngezimbali,lixhomeke,random_unrelated,,-0.044156,0.014091,Both
ziguquka.,"namasiko,",random_unrelated,,0.336524,0.280567,Both
wakhala,zazinzima,cooccurrence,freq=28,0.258668,0.346067,Both
uqhubeka,ur102,morphological,class11,0.51576,0.556032,Both
ukuhhubhuza,ukulinganisela,morphological,class15_infinitive,0.270096,0.384067,Both
uyanikeza,ziwumkhakha,random_unrelated,,0.16639,0.161473,Both
bo,"yakamuva,",random_unrelated,,0.304149,0.257904,Both
nokudayiswa,ukufundiswa,random_unrelated,,0.386324,0.315427,Both
"kolwandle,",kubuka,random_unrelated,,0.455928,0.36415,Both
abalondolozayo,okwenza,cooccurrence,freq=1008,0.208872,0.31121,Both
abahle,"eyishumi,",cooccurrence,freq=2,0.219621,0.318735,Both
baqhubeka,kunzima,cooccurrence,freq=384,0.153855,0.272698,Both
abangaphezu,abadlalela,morphological,class2_plural,0.26712,0.381984,Both
ezifuna,480),random_unrelated,,0.106024,0.119217,Both
uyakabisa,uyazibuza,cooccurrence,freq=14,0.609061,0.591343,Both
noma,okugcwele,cooccurrence,freq=730,0.200467,0.305327,Both
umsakazo,theknoloji,semantic_within,technology,0.634996,0.669497,Both
nabantwana,kumanje,random_unrelated,,0.130612,0.136428,Both
luyingxenye,engase,random_unrelated,,0.32747,0.274229,Both
uyalala,unozibusele,morphological,class11,0.459063,0.516344,Both
zalokhu,phuza,random_unrelated,,0.437705,0.351393,Both
uhluleke,enew,random_unrelated,,0.523947,0.411763,Both
ubisi,indishi,semantic_within,food,0.569571,0.6237,Both
kwezilwane.,ephepheni,random_unrelated,,0.455629,0.36394,Both
ehamba,izimoto.,random_unrelated,,0.366161,0.301313,Both
unksz,usizwa,morphological,class11,0.422182,0.490527,Both
uzozitshela,unxapha,morphological,class11,0.53899,0.572293,Both
iphonsele,ithengwe,morphological,class5_singular,0.494458,0.54112,Both
bayabona,okumnandi,cooccurrence,freq=24,0.171041,0.284728,Both
uqhele,usufonela,morphological,class11,0.511032,0.552722,Both
359),zokuziveza,random_unrelated,,0.147679,0.148375,Both
endaweni,izwe,cooccurrence,freq=6,0.171613,0.285129,Both
emshinini,kwandiswa,random_unrelated,,0.350633,0.290443,Both
incwadi,impumelelo,semantic_within,education,0.078657,0.28006,Both
isu,ilivume,morphological,class5_singular,0.600121,0.615084,Both
umculo,icwecwe,semantic_within,music,0.316154,0.446308,Both
ukuyofunda.,ukukhokha,morphological,class15_infinitive,0.422814,0.490969,Both
bathanda,kuholela,cooccurrence,freq=26,0.154061,0.272843,Both
ngesikhathi,wami.,cooccurrence,freq=2,-0.006426,0.160501,Both
ukuqeda,ukungazisoli,morphological,class15_infinitive,0.394122,0.470885,Both
ikhula,ithunyelwa,morphological,class5_singular,0.089948,0.257963,Both
kuwena,azilungiselele,random_unrelated,,0.204967,0.188477,Both
bomculo,imizamo,cooccurrence,freq=58,0.218385,0.31787,Both
ahlala,zabantu.,cooccurrence,freq=2,0.207135,0.309994,Both
ukubhala,imfundo,semantic_within,education,0.175419,0.347794,Both
mwanawasa,ngondlovu,random_unrelated,,0.494044,0.390831,Both
befuna,"enhle,",cooccurrence,freq=308,0.100368,0.235257,Both
"lwebele,",abaswele.,random_unrelated,,0.17024,0.164168,Both
omakhelwane,"omusha,",cooccurrence,freq=8,0.218534,0.317974,Both
isikhuthazo,isaziso,morphological,class7_singular,0.444326,0.506028,Both
abasebenzayo,abanele,morphological,class2_plural,0.145922,0.297146,Both
eyahlukene,ngezinto,cooccurrence,freq=2,0.121517,0.250062,Both
kunayo,uhlangothi,cooccurrence,freq=30,0.41076,0.452532,Both
bazibandakanya,izidingo,cooccurrence,freq=46,0.095941,0.232159,Both
ukhuni,amanzi,semantic_within,nature,0.195384,0.361769,Both
ushaywa,eyunivesithi,random_unrelated,,0.399999,0.324999,Both
unalo,uqobo,morphological,class11,0.350712,0.440498,Both
izimo,namhlanje,cooccurrence,freq=36,0.302929,0.37705,Both
ikati,izilwane,semantic_within,animals,0.145209,0.326647,Both
isipho,iziphathimandla,cooccurrence,freq=32,0.264275,0.349993,Both
kwezinqumo,umakhelwane,random_unrelated,,0.138542,0.14198,Both
wokucobelana,2026.,random_unrelated,,0.695868,0.532108,Both
ikhompiyutha,ucingo,semantic_within,technology,0.56062,0.617434,Both
ikhaya,isiteshi,semantic_within,places,0.091264,0.288885,Both
ukushaqeka,nokuzivocavoca,random_unrelated,,0.349159,0.289411,Both
ndawo.,lawo.,random_unrelated,,0.863643,0.64955,Both
uramaphosa,uhlolele,morphological,class11,0.465071,0.52055,Both
ngayo,ngenxa,cooccurrence,freq=2,0.077811,0.219468,Both
mngomezulu,yokukhanya,random_unrelated,,0.295102,0.251571,Both
baze,oluningi.,random_unrelated,,0.187905,0.176534,Both
kuboshelwe,umawelele,random_unrelated,,0.435132,0.349593,Both
uyazinika,ungakanani,morphological,class11,0.168132,0.312693,Both
bayasiza,nolwazi,cooccurrence,freq=4,0.165309,0.280717,Both
ihlathi,imifula,semantic_within,nature,0.20791,0.370537,Both
imigqa,nqqo,random_unrelated,,0.482415,0.382691,Both
“isikole,440),random_unrelated,,0.203266,0.187286,Both
inkampani,uthanda,cooccurrence,freq=12,0.262308,0.348615,Both
bawafake,ivikele,random_unrelated,,0.477778,0.379444,Both
emakubo.,yena.,random_unrelated,,0.347003,0.287902,Both
uhlabisa.,"ufuna,",morphological,class11,0.361324,0.447927,Both
ezinhle,"sonke,",cooccurrence,freq=42,0.194744,0.301321,Both
ukuthuthuka,ukuzinza,morphological,class15_infinitive,0.206058,0.33924,Both
wasezweni,ebandakanya,random_unrelated,,0.307016,0.259911,Both
wepremiership,"ngobuqotho,",random_unrelated,,0.15356,0.152492,Both
zokunciphisa,kungaphephile,random_unrelated,,0.290964,0.248675,Both
nezixazululo,ezintini,random_unrelated,,0.466472,0.37153,Both
and,zokuthuthukisa,random_unrelated,,0.192044,0.179431,Both
ngendlela,ukuthuthuka,cooccurrence,freq=240,0.164205,0.279944,Both
ngalo,ngifuna,cooccurrence,freq=2,0.185113,0.294579,Both
imfundo,izintaba,semantic_across,education_vs_nature,0.145026,0.191518,Both
njengezivakashi,emisebenzi,random_unrelated,,0.231503,0.207052,Both
bebusisiwe,wobumbano,random_unrelated,,0.150543,0.15038,Both
"amandla,",wesizini,cooccurrence,freq=112,0.175671,0.28797,Both
baneqiniso,ngokuzidela,cooccurrence,freq=18,0.356055,0.414238,Both
nezithombe,esikhiqizayo.,random_unrelated,,0.239102,0.212371,Both
ilwe,"ezemfundo,",random_unrelated,,0.29808,0.253656,Both
sikhethe,eseyonakaliswe,random_unrelated,,0.431989,0.347392,Both
ukulungisa,abaningi.,random_unrelated,,0.099787,0.114851,Both
olubalulekile.,yokuphila,random_unrelated,,0.089641,0.107749,Both
ohlelweni.,ngolwesibili,random_unrelated,,0.300591,0.255414,Both
izinhloko,izokwenza,morphological,class8_plural,0.090339,0.258237,Both
unandi,uhla,morphological,class11,0.164355,0.310049,Both
nabanye,ukubekezela,cooccurrence,freq=2,0.007376,0.170163,Both
uyazinika,"ucolonel,",morphological,class11,0.171853,0.315297,Both
uyasiza,uphakamise,morphological,class11,0.177461,0.319223,Both
abalandeli,ekutheni,cooccurrence,freq=2,0.321438,0.390006,Both
umkhakha,534),random_unrelated,,0.221974,0.200382,Both
inkosi,icala,semantic_within,government,0.151858,0.3313,Both
manje,banikela,random_unrelated,,0.082336,0.102635,Both
inguquko,ingena,morphological,class9_singular,0.443021,0.505115,Both
amahle,uyathanda,cooccurrence,freq=44,0.219067,0.318347,Both
lukhombisa,"umgibeli,",random_unrelated,,0.385029,0.314521,Both
ezemishado,waboleka,random_unrelated,,0.252317,0.221622,Both
bangena,kwangokomzimba,random_unrelated,,0.260621,0.227435,Both
oculaayo,ngokuhlanganiswa,random_unrelated,,0.219701,0.198791,Both
somdlalo.,jikelele,random_unrelated,,0.371783,0.305248,Both
ahlaza.,nesikhulu,random_unrelated,,0.077327,0.099129,Both
kepha,ukuhlonipha,cooccurrence,freq=22,0.272908,0.356036,Both
procurement,ipuleti,random_unrelated,,0.727529,0.554271,Both
iqophamlando,ivehicle,morphological,class5_singular,0.584378,0.604065,Both
abalondolozayo,babe,cooccurrence,freq=66,0.071956,0.215369,Both
abazimisele,abanikwe,morphological,class2_plural,0.086105,0.255273,Both
324),kwezinsuku,cooccurrence,freq=2,0.257381,0.345167,Both
usiza,ugweme,morphological,class11,0.175654,0.317958,Both
nobugebengu.,ukusebenzisana,random_unrelated,,0.276028,0.238219,Both
uyaziwa,kuzinyanyelwe,random_unrelated,,0.208902,0.191231,Both
isivivinyo,ucingo,semantic_across,education_vs_technology,0.485315,0.42972,Both
abakhonze,abamanje,morphological,class2_plural,0.385636,0.464945,Both
557),nokubambisana,cooccurrence,freq=2,0.585175,0.574623,Both
iziphazamiso,u-exclusive,random_unrelated,,0.448296,0.358807,Both
esekhona,march,random_unrelated,,0.557544,0.435281,Both
"nobuzwe,",ubabonga,cooccurrence,freq=652,0.152002,0.271401,Both
eyizele,nawukuqagula,random_unrelated,,0.626465,0.483526,Both
yigr-s,ekuhambeni,random_unrelated,,0.381339,0.311937,Both
zesizwe,untuli,random_unrelated,,0.130862,0.136604,Both
inkohlakalo,ihhotela,semantic_across,government_vs_places,0.530562,0.461393,Both
esendimeni,ukuvakashela,random_unrelated,,0.38348,0.313436,Both
i-actuarial,itoyitoyi,morphological,class5_singular,0.866214,0.801349,Both
nomngane,elikhanya,random_unrelated,,0.201345,0.185942,Both
izinhlolo,izinyanga,morphological,class8_plural,0.286527,0.395569,Both
unokwanda,wakwazi,cooccurrence,freq=108,0.312022,0.383415,Both
usanele,uwuhambisa,morphological,class11,0.385496,0.464847,Both
ucingo,ukuxhumana,semantic_within,technology,0.441657,0.53416,Both
kube,namandla,cooccurrence,freq=24,0.185923,0.295146,Both
"arrows,",obekujatshulwa,random_unrelated,,0.615137,0.475596,Both
"kakhulu,",okwadala,cooccurrence,freq=50,0.150997,0.270698,Both
ungene,ujacob,morphological,class11,0.484999,0.534499,Both
bayisebenzisa,ngokuqina,cooccurrence,freq=24,0.19094,0.298658,Both
indiza,amaculo,semantic_across,transport_vs_music,0.279273,0.285491,Both
ikati,izimvu,semantic_within,animals,0.281009,0.421706,Both
ukuzicabela,"ukuwabulala,",morphological,class15_infinitive,0.508312,0.550818,Both
nendlela,okumqoka,cooccurrence,freq=2,0.234872,0.32941,Both
ehambisana,ukuhlasela,cooccurrence,freq=2,0.439087,0.472361,Both
abalondolozayo,iyisibani,cooccurrence,freq=40,0.142856,0.264999,Both
unokushibilika,ulozolo,morphological,class11,0.565071,0.590549,Both
ukuzokwethula,ukubaleka,morphological,class15_infinitive,0.308976,0.411283,Both
ubuntu.,uhlanganyela,morphological,class11,0.248353,0.368847,Both
isizwe,kuyinhlanhla,cooccurrence,freq=56,0.101834,0.236284,Both
usanda,ucebise,morphological,class11,0.416285,0.486399,Both
okusebenza,783),random_unrelated,,0.054974,0.083482,Both
uyakhuluma,uyesaba,morphological,class11,0.669297,0.663508,Both
icala,izintaba,semantic_across,police_law_vs_nature,-0.00395,0.087235,Both
usebheke,u-r10,morphological,class11,0.494027,0.540819,Both
udonsa,uzothi,morphological,class11,0.423237,0.491266,Both
ukudla,indishi,semantic_within,food,0.049202,0.259441,Both
babusisa,wecawa,cooccurrence,freq=68,0.164402,0.280081,Both
emphandleni,uyakhuthaza,cooccurrence,freq=2,0.284531,0.364172,Both
iqalile,yomkhondo,random_unrelated,,0.230825,0.206578,Both
emfuleni,umakhelwane,cooccurrence,freq=18,0.331459,0.397021,Both
babantu,esikhulu,cooccurrence,freq=32,0.202896,0.307027,Both
unomphelo,ungcebeleka,morphological,class11,0.387984,0.466589,Both
ukudla,isitsha,semantic_within,food,0.173647,0.346553,Both
ubuqotho,udidekile,morphological,class11,0.179999,0.320999,Both
uxoshwa,"ezizayo,",random_unrelated,,0.220353,0.199247,Both
uthenge,usjava.,morphological,class11,0.398297,0.473808,Both
imoto,olusezansi,cooccurrence,freq=26,0.260864,0.347605,Both
unosipho.,ugumede,morphological,class11,0.424853,0.492397,Both
"namhlanje,",usipho,cooccurrence,freq=22,0.372026,0.425418,Both
bafeze,bomphakathi,cooccurrence,freq=112,0.381065,0.431745,Both
ukuqhubeka,ukumema,morphological,class15_infinitive,0.179216,0.320451,Both
"labantwana,",dladla,random_unrelated,,0.280366,0.241256,Both
ngezimbali,zokuphumelela,random_unrelated,,0.15917,0.156419,Both
yesonto,esetshenziswa,random_unrelated,,0.246131,0.217292,Both
esikhanyo,nalezi,random_unrelated,,0.115002,0.125501,Both
nomphakathi,wami,cooccurrence,freq=214,0.111158,0.242811,Both
uhlola,uyasikhombisa,morphological,class11,0.261188,0.377832,Both
ikusasa,ngokuthula,cooccurrence,freq=28,0.307173,0.380021,Both
ukuthula,ukhwele,morphological,class15_infinitive,0.124358,0.28205,Both
bavikelwe,emphakathini,cooccurrence,freq=42,0.118799,0.248159,Both
chiefs,ngamadoda.,random_unrelated,,0.327623,0.274336,Both
ukuvakasha,ukuhlengwa,morphological,class15_infinitive,0.399739,0.474817,Both
abaphumelelayo.,abazozwa,morphological,class2_plural,0.254941,0.373459,Both
amathambo,amakhadi,morphological,class6_plural,0.255731,0.374012,Both
izintatheli,ngobukhalipha,cooccurrence,freq=218,0.119956,0.248969,Both
ufundela,u-r230,morphological,class11,0.219927,0.348949,Both
zizithuthukise.,kwezwe.,random_unrelated,,0.475561,0.377892,Both
"babo,",emihle,cooccurrence,freq=2,0.171807,0.285265,Both
ngiwumncwaningi,ngo-2015,cooccurrence,freq=2,0.720101,0.66907,Both
abamthanda,abanekhono,morphological,class2_plural,0.13273,0.287911,Both
ikhibhodi,ucingo,semantic_within,technology,0.585751,0.635026,Both
kwethu,okukhomba,cooccurrence,freq=2,0.267103,0.351972,Both
chiefs,i-kaizer,cooccurrence,freq=2,0.910677,0.802474,Both
"ubudlelwane,",ushukela,morphological,class11,0.191241,0.328869,Both
ibhola,ukudlala,semantic_within,sport,0.214823,0.375376,Both
abaculi,aphuma,cooccurrence,freq=20,0.176037,0.288226,Both
