query_word,candidate,cosine_similarity,rank,above_threshold,noun_class_match,note
abalandeli,abalimi,0.7049,8,YES,YES,Strong candidate
abalandeli,abalima,0.6971,9,YES,YES,Strong candidate
abalandeli,abazifundayo,0.691,10,YES,YES,Strong candidate
abalimi,abakhulekeli,0.8463,1,YES,YES,Strong candidate
abalimi,abalima,0.8385,2,YES,YES,Strong candidate
abalimi,abavikeli,0.8329,3,YES,YES,Strong candidate
abalimi,abakhokheli,0.8183,4,YES,YES,Strong candidate
abalimi,abakhosi,0.8142,5,YES,YES,Strong candidate
abalimi,omakhelwane,0.8137,6,YES,YES,Strong candidate
abalimi,nabakhulekeli,0.7574,7,YES,YES,Strong candidate
abalimi,abafazi,0.7428,8,YES,YES,Strong candidate
abalimi,yomakhelwane,0.741,9,YES,YES,Strong candidate
abalimi,abakhulekeli.,0.7394,10,YES,YES,Strong candidate
abalingani,bangalingani,0.7604,1,YES,YES,Strong candidate
abalingani,abangani,0.7174,2,YES,YES,Strong candidate
abalingani,abalima,0.7079,3,YES,YES,Strong candidate
abalingani,umlingisi,0.7015,4,YES,YES,Strong candidate
abalingani,abafazi,0.6836,5,YES,YES,Strong candidate
abalingani,abalandeli,0.678,6,YES,YES,Strong candidate
abalingani,abangane,0.6763,7,YES,YES,Strong candidate
abalingani,yomakhelwane,0.6701,8,YES,YES,Strong candidate
abalingani,abalisa,0.6696,9,YES,YES,Strong candidate
abalingani,omakhelwane,0.6664,10,YES,YES,Strong candidate
abameli,ummeli,0.779,1,YES,YES,Strong candidate
abameli,abavikeli,0.755,2,YES,YES,Strong candidate
abameli,abakhulekeli,0.7485,3,YES,YES,Strong candidate
abameli,babantu,0.7451,4,YES,YES,Strong candidate
abameli,abagibeli,0.7302,5,YES,YES,Strong candidate
abameli,abakhokheli,0.7296,6,YES,YES,Strong candidate
abameli,abafundi,0.7256,7,YES,YES,Strong candidate
abameli,abafazi,0.7239,8,YES,YES,Strong candidate
abameli,abashayeli,0.7168,9,YES,YES,Strong candidate
abameli,umongameli,0.706,10,YES,YES,Strong candidate
abangane,abangani,0.8103,1,YES,YES,Strong candidate
abangane,nabangane,0.7882,2,YES,YES,Strong candidate
abangane,omakhelwane,0.7761,3,YES,YES,Strong candidate
abangane,okhokho,0.744,4,YES,YES,Strong candidate
abangane,abagqi,0.737,5,YES,YES,Strong candidate
abangane,abakhokheli,0.7349,6,YES,YES,Strong candidate
abangane,abagibeli,0.7333,7,YES,YES,Strong candidate
abangane,abakhulu,0.7174,8,YES,YES,Strong candidate
abangane,yomakhelwane,0.7097,9,YES,YES,Strong candidate
abangane,bethu,0.6982,10,YES,YES,Strong candidate
abangani,nabangani,0.8167,1,YES,YES,Strong candidate
abangani,abangane,0.8103,2,YES,YES,Strong candidate
abangani,nabangane,0.7385,3,YES,YES,Strong candidate
abangani,abalingani,0.7174,4,YES,YES,Strong candidate
abangani,abangayeki,0.7083,5,YES,YES,Strong candidate
abangani,abangangisiza,0.6887,6,YES,YES,Strong candidate
abangani,abangakuqondi,0.6781,7,YES,YES,Strong candidate
abangani,engicabanga,0.6652,8,YES,YES,Strong candidate
abangani,nabangane.,0.6607,9,YES,YES,Strong candidate
abangani,abafundi,0.6551,10,YES,YES,Strong candidate
abaningi,baningi,0.841,1,YES,YES,Strong candidate
abaningi,abaningi.,0.7502,2,YES,YES,Strong candidate
abaningi,"abaningi,",0.75,3,YES,YES,Strong candidate
abaningi,abanikwe,0.7142,4,YES,YES,Strong candidate
abaningi,kaningi,0.5581,5,YES,YES,Moderate candidate
abaningi,omningi,0.5417,6,YES,YES,Moderate candidate
abaningi,eningi,0.5395,7,YES,YES,Moderate candidate
abaningi,ngazo,0.5257,8,YES,YES,Moderate candidate
abaningi,ngobuningi,0.505,9,YES,YES,Moderate candidate
abaningi,ngokubamba,0.5012,10,YES,YES,Moderate candidate
abantu,“abantu,0.615,1,YES,YES,Strong candidate
abantu,lwabantu,0.5084,2,YES,YES,Moderate candidate
abantu,sabantu,0.4947,3,YES,YES,Moderate candidate
abantu,nabantu,0.4662,4,YES,YES,Moderate candidate
abantu,sisebenzisane,0.4533,5,YES,YES,Moderate candidate
abantu,uyakhulekela,0.4533,6,YES,YES,Moderate candidate
abantu,bayamjabulisa,0.4495,7,YES,YES,Moderate candidate
abantu,eningi,0.4475,8,YES,YES,Moderate candidate
abantu,xolani,0.4423,9,YES,YES,Moderate candidate
abantu,wakhe,0.4397,10,YES,YES,Moderate candidate
abantwana,abantwaneni,0.712,1,YES,YES,Strong candidate
abantwana,wabantwana,0.6737,2,YES,YES,Strong candidate
abantwana,yabantwana,0.6522,3,YES,YES,Strong candidate
abantwana,umntwana,0.5844,4,YES,YES,Moderate candidate
abantwana,entshonalanga,0.5427,5,YES,YES,Moderate candidate
abantwana,nomntwana,0.5334,6,YES,YES,Moderate candidate
abantwana,baleli,0.5325,7,YES,YES,Moderate candidate
abantwana,abahlobo,0.5231,8,YES,YES,Moderate candidate
abantwana,abasebenzisa,0.5073,9,YES,YES,Moderate candidate
abantwana,balekelela,0.5057,10,YES,YES,Moderate candidate
abanye,“abanye,0.645,1,YES,YES,Strong candidate
abanye,yabanye,0.4775,2,YES,YES,Moderate candidate
abanye,abasweleyo.,0.446,3,YES,YES,Moderate candidate
abanye,abasweleyo,0.4394,4,YES,YES,Moderate candidate
abanye,zokwethembana,0.4384,5,YES,YES,Moderate candidate
abanye,befunda,0.4287,6,YES,YES,Moderate candidate
abanye,bafunda,0.4265,7,YES,YES,Moderate candidate
abanye,abasebenzayo,0.4261,8,YES,YES,Moderate candidate
abanye,efundisa,0.4238,9,YES,YES,Moderate candidate
abanye,nokubambisana,0.4229,10,YES,YES,Moderate candidate
abaqeqeshi,baqeqeshi,0.9385,1,YES,YES,Strong candidate
abaqeqeshi,umqeqeshi,0.8712,2,YES,YES,Strong candidate
abaqeqeshi,mqeqeshi,0.8446,3,YES,YES,Strong candidate
abaqeqeshi,bezemidlalo,0.7887,4,YES,YES,Strong candidate
abaqeqeshi,umzali,0.716,5,YES,YES,Strong candidate
abaqeqeshi,"yesizwe,",0.6927,6,YES,YES,Strong candidate
abaqeqeshi,lenkosi,0.6712,7,YES,YES,Strong candidate
abaqeqeshi,ugogo,0.6608,8,YES,YES,Strong candidate
abaqeqeshi,wesikole,0.6585,9,YES,YES,Strong candidate
abaqeqeshi,uthisha,0.6552,10,YES,YES,Strong candidate
abasebenzi,nabasebenzi,0.8706,1,YES,YES,Strong candidate
abasebenzi,kwabasebenzi,0.8566,2,YES,YES,Strong candidate
abasebenzi,labasebenzi,0.7697,3,YES,YES,Strong candidate
abasebenzi,abasizi,0.7591,4,YES,YES,Strong candidate
abasebenzi,abashayimthetho,0.7414,5,YES,YES,Strong candidate
abasebenzi,abasebenzisa,0.7334,6,YES,YES,Strong candidate
abasebenzi,abasebenz,0.7269,7,YES,YES,Strong candidate
abasebenzi,bezikhungo,0.708,8,YES,YES,Strong candidate
abasebenzi,abafundisi,0.7009,9,YES,YES,Strong candidate
abasebenzi,othisha,0.6817,10,YES,YES,Strong candidate
abashadayo,abashadile,0.7212,1,YES,YES,Strong candidate
abashadayo,"komndeni,",0.6683,2,YES,YES,Strong candidate
abashadayo,komndeni,0.648,3,YES,YES,Strong candidate
abashadayo,yomndeni,0.6311,4,YES,YES,Strong candidate
abashadayo,nokuphathwa,0.628,5,YES,YES,Strong candidate
abashadayo,"yomndeni,",0.6188,6,YES,YES,Strong candidate
abashadayo,kadadewethu,0.6181,7,YES,YES,Strong candidate
abashadayo,lokuphathwa,0.6139,8,YES,YES,Strong candidate
abashadayo,beqinisekisa,0.6106,9,YES,YES,Strong candidate
abashadayo,"abasha,",0.6078,10,YES,YES,Strong candidate
abashadile,abasha,0.7704,1,YES,YES,Strong candidate
abashadile,"abasha,",0.7591,2,YES,YES,Strong candidate
abashadile,abafundile,0.7263,3,YES,YES,Strong candidate
abashadile,abashayeli,0.7217,4,YES,YES,Strong candidate
abashadile,abashadayo,0.7212,5,YES,YES,Strong candidate
abashadile,abasuke,0.6883,6,YES,YES,Strong candidate
abashadile,abashayimthetho,0.6773,7,YES,YES,Strong candidate
abashadile,kadadewethu,0.6501,8,YES,YES,Strong candidate
abashadile,abasolwa,0.6465,9,YES,YES,Strong candidate
abashadile,abahamba,0.6421,10,YES,YES,Strong candidate
abashayeli,umshayeli,0.7469,1,YES,YES,Strong candidate
abashayeli,bemfundo,0.7463,2,YES,YES,Strong candidate
abashayeli,abaholi,0.7333,3,YES,YES,Strong candidate
abashayeli,ashayele,0.7304,4,YES,YES,Strong candidate
abashayeli,abafundile,0.7235,5,YES,YES,Strong candidate
abashayeli,abashadile,0.7217,6,YES,YES,Strong candidate
abashayeli,abameli,0.7168,7,YES,YES,Strong candidate
abashayeli,ongogos,0.7166,8,YES,YES,Strong candidate
abashayeli,bezinkampani,0.7088,9,YES,YES,Strong candidate
abashayeli,abasha,0.6996,10,YES,YES,Strong candidate
abasolwa,abasafufusa,0.8063,1,YES,YES,Strong candidate
abasolwa,abasuka,0.7195,2,YES,YES,Strong candidate
abasolwa,usolwa,0.7099,3,YES,YES,Strong candidate
abasolwa,abasuke,0.7036,4,YES,YES,Strong candidate
abasolwa,abesasol,0.6869,5,YES,YES,Strong candidate
abasolwa,abavela,0.6833,6,YES,YES,Strong candidate
abasolwa,abafisa,0.674,7,YES,YES,Strong candidate
abasolwa,abahamba,0.6667,8,YES,YES,Strong candidate
abasolwa,kohlolwa,0.6658,9,YES,YES,Strong candidate
abasolwa,etholwa,0.6641,10,YES,YES,Strong candidate
abathanda,abathandi,0.8484,1,YES,YES,Strong candidate
abathanda,abathi,0.8058,2,YES,YES,Strong candidate
abathanda,abathandanayo,0.7847,3,YES,YES,Strong candidate
abathanda,abathe,0.7824,4,YES,YES,Strong candidate
abathanda,"abathathu,",0.7677,5,YES,YES,Strong candidate
abathanda,abathengi,0.7368,6,YES,YES,Strong candidate
abathanda,abancane,0.6986,7,YES,YES,Strong candidate
abathanda,bezingane,0.6749,8,YES,YES,Strong candidate
abathanda,ezincane,0.6499,9,YES,YES,Strong candidate
abathanda,abazali,0.6426,10,YES,YES,Strong candidate
abathandanayo,abathanda,0.7847,1,YES,YES,Strong candidate
abathandanayo,abathandi,0.7585,2,YES,YES,Strong candidate
abathandanayo,abancane,0.6773,3,YES,YES,Strong candidate
abathandanayo,"abazithandayo,",0.6666,4,YES,YES,Strong candidate
abathandanayo,abathengi,0.6591,5,YES,YES,Strong candidate
abathandanayo,abahamba,0.6589,6,YES,YES,Strong candidate
abathandanayo,ngasethunjini,0.6546,7,YES,YES,Strong candidate
abathandanayo,abucayi,0.6447,8,YES,YES,Strong candidate
abathandanayo,zethu,0.6442,9,YES,YES,Strong candidate
abathandanayo,abahlobo,0.6407,10,YES,YES,Strong candidate
abathandi,abathanda,0.8484,1,YES,YES,Strong candidate
abathandi,"abathathu,",0.7948,2,YES,YES,Strong candidate
abathandi,abathengi,0.7657,3,YES,YES,Strong candidate
abathandi,abathi,0.7623,4,YES,YES,Strong candidate
abathandi,abathandanayo,0.7585,5,YES,YES,Strong candidate
abathandi,abathe,0.7475,6,YES,YES,Strong candidate
abathandi,abancane,0.6897,7,YES,YES,Strong candidate
abathandi,zethu,0.6827,8,YES,YES,Strong candidate
abathandi,abazali,0.6606,9,YES,YES,Strong candidate
abathandi,abashayeli,0.66,10,YES,YES,Strong candidate
abathengi,abathe,0.8376,1,YES,YES,Strong candidate
abathengi,abathi,0.7871,2,YES,YES,Strong candidate
abathengi,abathandi,0.7657,3,YES,YES,Strong candidate
abathengi,"abathathu,",0.7433,4,YES,YES,Strong candidate
abathengi,abathanda,0.7368,5,YES,YES,Strong candidate
abathengi,owabathuma,0.6989,6,YES,YES,Strong candidate
abathengi,umhlabathi,0.6782,7,YES,YES,Strong candidate
abathengi,bezingane,0.6658,8,YES,YES,Strong candidate
abathengi,abathandanayo,0.6591,9,YES,YES,Strong candidate
abathengi,zezekhempasi,0.6482,10,YES,YES,Strong candidate
abavakashi,abavakashela,0.8983,1,YES,YES,Strong candidate
abavakashi,yezivakashi,0.8049,2,YES,YES,Strong candidate
abavakashi,uvakashele,0.7686,3,YES,YES,Strong candidate
abavakashi,uvakashela,0.7652,4,YES,YES,Strong candidate
abavakashi,ezivakashela,0.7517,5,YES,YES,Strong candidate
abavakashi,vakashela,0.7475,6,YES,YES,Strong candidate
abavakashi,bavakashela,0.7416,7,YES,YES,Strong candidate
abavakashi,ziyavakashela,0.7416,8,YES,YES,Strong candidate
abavakashi,ngomashi,0.7407,9,YES,YES,Strong candidate
abavakashi,zamaholidi,0.7259,10,YES,YES,Strong candidate
abazali,abazange,0.7576,1,YES,YES,Strong candidate
abazali,nabazali,0.7181,2,YES,YES,Strong candidate
abazali,abaculi,0.6915,3,YES,YES,Strong candidate
abazali,abadlali,0.6895,4,YES,YES,Strong candidate
abazali,omakhelwane,0.6881,5,YES,YES,Strong candidate
abazali,abagibeli,0.683,6,YES,YES,Strong candidate
abazali,bezingane,0.6791,7,YES,YES,Strong candidate
abazali,abaholi,0.6786,8,YES,YES,Strong candidate
abazali,yomakhelwane,0.6688,9,YES,YES,Strong candidate
abazali,abafazi,0.6657,10,YES,YES,Strong candidate
abazenzile,zikwazile,0.595,1,YES,YES,Moderate candidate
abazenzile,abakwenzile,0.585,2,YES,YES,Moderate candidate
abazenzile,bazenze,0.5745,3,YES,YES,Moderate candidate
abazenzile,"umklonyelise,",0.5555,4,YES,YES,Moderate candidate
abazenzile,"ngobulungiswa,",0.5544,5,YES,YES,Moderate candidate
abazenzile,abazenzayo,0.5434,6,YES,YES,Moderate candidate
abazenzile,bayabongana,0.5255,7,YES,YES,Moderate candidate
abazenzile,"limlindele,",0.515,8,YES,YES,Moderate candidate
abazenzile,ziqapha.,0.5126,9,YES,YES,Moderate candidate
abazenzile,"ndawonye,",0.5092,10,YES,YES,Moderate candidate
abefundisi,abafundisi,0.8048,1,YES,YES,Strong candidate
abefundisi,umfundisi,0.7732,2,YES,YES,Strong candidate
abefundisi,abefundi,0.6985,3,YES,YES,Strong candidate
abefundisi,abafundi.,0.6495,4,YES,YES,Strong candidate
abefundisi,nezikhungo,0.6413,5,YES,YES,Strong candidate
abefundisi,abaholi,0.6369,6,YES,YES,Strong candidate
abefundisi,abagibeli,0.6282,7,YES,YES,Strong candidate
abefundisi,abucayi,0.6233,8,YES,YES,Strong candidate
abefundisi,befunda,0.6232,9,YES,YES,Strong candidate
abefundisi,abakhulekeli.,0.6224,10,YES,YES,Strong candidate
abezindaba,bezindaba,0.8772,1,YES,YES,Strong candidate
abezindaba,zezindaba,0.7464,2,YES,YES,Strong candidate
abezindaba,"zezindaba,",0.688,3,YES,YES,Strong candidate
abezindaba,nezindaba,0.6783,4,YES,YES,Strong candidate
abezindaba,abezimali,0.6734,5,YES,YES,Strong candidate
abezindaba,abanumzane,0.6516,6,YES,YES,Strong candidate
abezindaba,abagcini,0.6425,7,YES,YES,Strong candidate
abezindaba,abezimo,0.6423,8,YES,YES,Strong candidate
abezindaba,bezindlu,0.6353,9,YES,YES,Strong candidate
abezindaba,wecawa,0.6317,10,YES,YES,Strong candidate
ahlanzekile,ohlanzekile,0.8446,1,YES,YES,Strong candidate
ahlanzekile,ahlanzekiyo,0.8348,2,YES,YES,Strong candidate
ahlanzekile,ihlanzekile,0.8319,3,YES,YES,Strong candidate
ahlanzekile,asuka,0.7359,4,YES,YES,Strong candidate
ahlanzekile,"ahlanzekile,",0.7009,5,YES,YES,Strong candidate
ahlanzekile,emthonjeni,0.6474,6,YES,YES,Strong candidate
ahlanzekile,amanzi,0.6241,7,YES,YES,Strong candidate
ahlanzekile,okumnandi,0.5514,8,YES,YES,Moderate candidate
ahlanzekile,ekuhlanzeni,0.5486,9,YES,YES,Moderate candidate
ahlanzekile,abasuka,0.5475,10,YES,YES,Moderate candidate
akayeki,nalapho,0.6018,1,YES,YES,Strong candidate
akayeki,ngisebenzela,0.5681,2,YES,YES,Moderate candidate
akayeki,abangayeki,0.5501,3,YES,YES,Moderate candidate
akayeki,ukusebenzela,0.5475,4,YES,YES,Moderate candidate
akayeki,ongayeki,0.5461,5,YES,YES,Moderate candidate
akayeki,abenzele,0.5367,6,YES,YES,Moderate candidate
akayeki,i-amandlenkosi,0.5292,7,YES,YES,Moderate candidate
akayeki,nokusebenzela,0.5198,8,YES,YES,Moderate candidate
akayeki,yakhe.,0.5197,9,YES,YES,Moderate candidate
akayeki,kwesinye,0.5069,10,YES,YES,Moderate candidate
akhulela,akhule,0.7786,1,YES,YES,Strong candidate
akhulela,sakubo,0.6368,2,YES,YES,Strong candidate
akhulela,bahlala,0.5861,3,YES,YES,Moderate candidate
akhulela,zikhulela,0.5835,4,YES,YES,Moderate candidate
akhulela,zezikhali,0.5781,5,YES,YES,Moderate candidate
akhulela,liphuma,0.5748,6,YES,YES,Moderate candidate
akhulela,esigodini,0.5729,7,YES,YES,Moderate candidate
akhulela,nolwandle,0.5698,8,YES,YES,Moderate candidate
akhulela,kowandulela,0.5619,9,YES,YES,Moderate candidate
akhulela,labazali,0.5449,10,YES,YES,Moderate candidate
akhuthazayo,amnandi,0.7319,1,YES,YES,Strong candidate
akhuthazayo,aphuma,0.7293,2,YES,YES,Strong candidate
akhuthazayo,okhuthazayo,0.704,3,YES,YES,Strong candidate
akhuthazayo,amazwi,0.6488,4,YES,YES,Strong candidate
akhuthazayo,aphiwe,0.5797,5,YES,YES,Moderate candidate
akhuthazayo,akhe,0.5782,6,YES,YES,Moderate candidate
akhuthazayo,ezisizayo,0.57,7,YES,YES,Moderate candidate
akhuthazayo,ezilingene,0.5687,8,YES,YES,Moderate candidate
akhuthazayo,ubumnandi,0.5663,9,YES,YES,Moderate candidate
akhuthazayo,akhule,0.5608,10,YES,YES,Moderate candidate
alunasimilo,"lunezithelo,",0.6392,1,YES,YES,Strong candidate
alunasimilo,lunezithelo.,0.6387,2,YES,YES,Strong candidate
alunasimilo,ekubambisaneni,0.6236,3,YES,YES,Strong candidate
alunasimilo,izimilo,0.5579,4,YES,YES,Moderate candidate
alunasimilo,yehla,0.5203,5,YES,YES,Moderate candidate
alunasimilo,ikhwalithi,0.4876,6,YES,YES,Moderate candidate
alunasimilo,luyinsika,0.48,7,YES,YES,Moderate candidate
alunasimilo,bayamethemba.,0.4754,8,YES,YES,Moderate candidate
alunasimilo,bayamlandela,0.4708,9,YES,YES,Moderate candidate
