word1,word2,strategy,detail,cosine_similarity,heuristic_score,in_vocab
ibhotela,imifino,semantic_within,food,0.336623,0.501974,Both
eyaqubuka,zitholakala,random_unrelated,,0.366114,0.279668,Both
"uthebe,",usimame,morphological,class11,0.572168,0.603301,Both
udokotela,umhlengikazi,semantic_within,health,0.430753,0.558452,Both
udinga,uyagijima,morphological,class11,0.25938,0.415628,Both
esaqalwa,wakhe,cooccurrence,freq=2,0.422441,0.473464,Both
385),nokubambisana,cooccurrence,freq=2,0.740163,0.664098,Both
zokweseka,bahlala,random_unrelated,,0.302521,0.241512,Both
isigcawu,ongazisoli,random_unrelated,,0.31564,0.249384,Both
umdlalo,imidlalo,semantic_within,sport,0.680123,0.708074,Both
ulieutenant,usafisa,morphological,class11,0.401001,0.5006,Both
amaphoyisa,indlu,semantic_across,police_law_vs_places,0.176275,0.225765,Both
umtapo,imfundo,semantic_within,education,0.195166,0.417099,Both
usipho,uzofihla,morphological,class11,0.299485,0.439691,Both
"somcimbi,",umculi,cooccurrence,freq=6,0.631458,0.598875,Both
ijabule,igcina,morphological,class5_singular,0.208619,0.385172,Both
"nabantwana,","ukubekezelelana,",cooccurrence,freq=2,0.55282,0.551692,Both
inkampani,impilo,semantic_across,money_vs_health,0.209741,0.245845,Both
ukusho,ukukhulekela,morphological,class15_infinitive,0.389725,0.493835,Both
igiya,ibiphuma,morphological,class5_singular,0.381304,0.488783,Both
"ukuthobeka,",ukuhlunga,morphological,class15_infinitive,0.385913,0.491548,Both
"engu-12,",zizobhekana,random_unrelated,,0.204623,0.182774,Both
bakhubeke,yinsika,random_unrelated,,0.473942,0.344365,Both
lo,856),random_unrelated,,0.266307,0.219784,Both
nomphakathi,ezisheshayo.,random_unrelated,,0.23564,0.201384,Both
ezenza,ngezithako,cooccurrence,freq=2,0.498233,0.51894,Both
"kwaliwa,",iwest,random_unrelated,,0.54674,0.388044,Both
abasolwa,inhlamvu,semantic_within,police_law,0.448853,0.569312,Both
adala,amadodana,random_unrelated,,0.259415,0.215649,Both
umthandazo,esemculweni,random_unrelated,,0.256093,0.213656,Both
okukholakala,ngebhodwe,random_unrelated,,0.330167,0.2581,Both
ubisi,isitsha,semantic_within,food,0.59097,0.654582,Both
abafundi,zifakwe,cooccurrence,freq=2,0.301334,0.4008,Both
ukuhlenga,ukukhuluma,morphological,class15_infinitive,0.248379,0.409028,Both
kwehora,ongaziwa.,random_unrelated,,0.322753,0.253652,Both
ukuzenzela,ukukhala,morphological,class15_infinitive,0.394629,0.496778,Both
kukhona,"okungenzeka,",cooccurrence,freq=4,0.423289,0.473973,Both
zokuxhumana.,ababezethemba,random_unrelated,,0.349003,0.269402,Both
abafuna,abayaluzayo,morphological,class2_plural,0.539494,0.583696,Both
airbag,njengezibiza,cooccurrence,freq=2,0.581257,0.568754,Both
amehlo,kimina,cooccurrence,freq=4,0.389734,0.45384,Both
khona,ukuwudlulisela,cooccurrence,freq=2,0.397056,0.458234,Both
u-amahle,ubungozi,morphological,class11,0.170778,0.362467,Both
unjinji,usiphokuhle,morphological,class11,0.458351,0.535011,Both
emishibeni,aqale,random_unrelated,,0.199604,0.179762,Both
kwatransnet,yokuvuselela,random_unrelated,,0.425915,0.315549,Both
iveza,umkhwanazi.,random_unrelated,,0.205328,0.183197,Both
idolobha,ikhaya,semantic_within,places,0.359316,0.51559,Both
"izulu,",izojika.,morphological,class8_plural,0.304064,0.442438,Both
iyama,osuke,random_unrelated,,0.137344,0.142407,Both
lona.,leyo,random_unrelated,,0.389351,0.29361,Both
4,ngojuni,cooccurrence,freq=2,0.654841,0.612905,Both
"ukuthandaza,","ukuzibamba,",morphological,class15_infinitive,0.429851,0.51791,Both
"isikhathi,","kanzima,",random_unrelated,,0.353362,0.272017,Both
ize,i-i,morphological,class5_singular,0.338826,0.463296,Both
u-abdeslam,ufika,morphological,class11,0.425282,0.515169,Both
ikuthola,389),random_unrelated,,0.330109,0.258065,Both
"(gcfo),",dlamini.,random_unrelated,,0.402243,0.301346,Both
nokugubha,ziphasa,random_unrelated,,0.193529,0.176117,Both
usipho,unqamule,morphological,class11,0.436312,0.521787,Both
engatolikelwa.,nokuqapha,random_unrelated,,0.352382,0.271429,Both
ezweni,lesethembiso.,cooccurrence,freq=2,0.515079,0.529047,Both
ngisho,sezulu,cooccurrence,freq=2,0.363512,0.438107,Both
inyoni,inkampani,semantic_across,animals_vs_money,0.297753,0.298652,Both
“yingakho,ulibofuzo,random_unrelated,,0.350051,0.270031,Both
abazozwa,abazobambelela,morphological,class2_plural,0.641132,0.644679,Both
360),ngezimpelasonto,random_unrelated,,0.467568,0.340541,Both
udale,ungomunye,morphological,class11,0.444367,0.52662,Both
emshadweni.,kanye,cooccurrence,freq=2,0.409338,0.465603,Both
"sakusihlwa,","uthando,",cooccurrence,freq=4,0.507061,0.524237,Both
abazange,abawu-88.,morphological,class2_plural,0.682734,0.66964,Both
ufunda,zemfundo,cooccurrence,freq=6,0.529737,0.537842,Both
kuyena.,376),random_unrelated,,0.317108,0.250265,Both
babhale,lokuthi,cooccurrence,freq=2,0.339073,0.423444,Both
amathuba,amathambo,morphological,class6_plural,0.566198,0.599719,Both
kwabantu,kwemibiko,cooccurrence,freq=2,0.499403,0.519642,Both
okubalulekile,okunye,cooccurrence,freq=2,0.443704,0.486222,Both
u-abdeslam,unqambothi,morphological,class11,0.634125,0.640475,Both
izimpahla,"izisulu,",morphological,class8_plural,0.501179,0.560708,Both
uyeke,ubona,morphological,class11,0.334823,0.460894,Both
kuyihlomula,okusuke,cooccurrence,freq=2,0.516462,0.529877,Both
ngizama,izinkumbulo.,random_unrelated,,0.206496,0.183898,Both
kwamadolobha,kuzophazamisa,random_unrelated,,0.148881,0.149329,Both
ubisi,ikhukhamba,semantic_within,food,0.368786,0.521271,Both
indoda,umfana,semantic_within,family,0.502449,0.60147,Both
yalo,ehhovisi,random_unrelated,,0.174377,0.164626,Both
bahlanganyela,"ukuzindla,",cooccurrence,freq=2,0.500261,0.520156,Both
isikhathi,izifundo,cooccurrence,freq=10,0.265496,0.379297,Both
eliwusizo,ezinganeni,cooccurrence,freq=2,0.511819,0.527092,Both
uphuza,uncoma,morphological,class11,0.612684,0.627611,Both
abantu,eyanele,cooccurrence,freq=2,0.32319,0.413914,Both
izwa,izojika.,morphological,class8_plural,0.316207,0.449724,Both
lakhe,u-abdeslam,cooccurrence,freq=2,0.645991,0.607595,Both
"kwakufanelekile,",nezithunywa,cooccurrence,freq=2,0.431042,0.478625,Both
bavakashela,izimpahla,cooccurrence,freq=6,0.385175,0.451105,Both
emotweni,"nomoya,",random_unrelated,,0.189005,0.173403,Both
ifika,ibheyili,morphological,class5_singular,0.352788,0.471673,Both
ukuthuma,ukungadli,morphological,class15_infinitive,0.405232,0.503139,Both
uhulumeni,ungazami,morphological,class11,0.241601,0.404961,Both
kahle,njengobuchwepheshe,random_unrelated,,0.323411,0.254047,Both
ukuphazanyiswa,kuyakhombisa,random_unrelated,,0.240307,0.204184,Both
umfundi,iphepha,semantic_within,education,0.388047,0.532828,Both
idla,wezokuphepha,random_unrelated,,0.123444,0.134066,Both
akwazi,amagciwane,cooccurrence,freq=2,0.31709,0.410254,Both
"isikhathi,",zabo,cooccurrence,freq=4,0.207944,0.344767,Both
yasesipholi,wamalungu,random_unrelated,,0.235409,0.201246,Both
abayitholile,ezindondweni,random_unrelated,,0.263571,0.218143,Both
“ngijabule,eziqinile,random_unrelated,,0.349235,0.269541,Both
ihudula,ihanjwe,morphological,class5_singular,0.434181,0.520508,Both
abalandeli,ababukele.”,morphological,class2_plural,0.544206,0.586524,Both
isikole,umtapo,semantic_within,education,0.221561,0.432937,Both
"izimpiko,",iziyalo,morphological,class8_plural,0.489235,0.553541,Both
embuthanweni,eziyisithupha,cooccurrence,freq=2,0.415166,0.4691,Both
kujanuwari,ufike,cooccurrence,freq=2,0.299336,0.399602,Both
ukuzovakasha,ukudlulela,morphological,class15_infinitive,0.37285,0.48371,Both
abafundi,abane,cooccurrence,freq=2,0.46666,0.499996,Both
ilokishi,isiteshi,semantic_within,places,0.480812,0.588487,Both
izosiza,izinhlaka,morphological,class8_plural,0.429427,0.517656,Both
uqhubeka,ungakhathazekile,morphological,class11,0.166057,0.359634,Both
kuza,phansi,cooccurrence,freq=2,0.33075,0.41845,Both
i-kaizer,iqokwe,morphological,class5_singular,0.480024,0.548014,Both
ebalungele,isouthern,random_unrelated,,0.372028,0.283217,Both
wemisindo,nezibalulekile,random_unrelated,,0.32364,0.254184,Both
"wokujabula,",zidlala,cooccurrence,freq=2,0.411012,0.466607,Both
ibamba,i-eff,morphological,class5_singular,0.321835,0.453101,Both
ucassper,ububone,morphological,class11,0.382759,0.489656,Both
isigaba,wenza,cooccurrence,freq=2,0.315065,0.409039,Both
kunciphisa,yakho,cooccurrence,freq=2,0.371218,0.442731,Both
umengo,"umalinga,",morphological,class1_singular,0.458562,0.535137,Both
imoto,isitimela,semantic_within,transport,0.344444,0.506666,Both
abavela,abayiqonde,morphological,class2_plural,0.448509,0.529106,Both
elisethimbeni,ezitsheni,random_unrelated,,0.485597,0.351358,Both
uphonsa,usezimele,morphological,class11,0.409634,0.50578,Both
indawo,mina,cooccurrence,freq=2,0.259221,0.375533,Both
ongazisoli,wakho,random_unrelated,,0.399852,0.299911,Both
igingqike,iyayedlula.,morphological,class5_singular,0.29906,0.439436,Both
ubona,uzelule,morphological,class11,0.273933,0.42436,Both
zifana,ubukeleke,random_unrelated,,0.292203,0.235322,Both
ekwele-hip,zomuthi,random_unrelated,,0.281401,0.228841,Both
uhambo,isiko,semantic_across,transport_vs_culture,0.249395,0.269637,Both
nokufunda,singebe,random_unrelated,,0.246694,0.208016,Both
(isisho,103),cooccurrence,freq=2,0.830852,0.718511,Both
"ukwakha,","ukuliphuza,",morphological,class15_infinitive,0.473301,0.543981,Both
nangokuthi,"""lolu",random_unrelated,,0.391125,0.294675,Both
omkhulu,likasawoti,random_unrelated,,0.353174,0.271905,Both
ebhizinisi,iqhubekisele,random_unrelated,,0.374883,0.28493,Both
zihlanganisa,ukwethulwa,random_unrelated,,0.126023,0.135614,Both
"kwezikole,",ahlukene.,random_unrelated,,0.133958,0.140375,Both
wawugcwele,umnuz,random_unrelated,,0.201537,0.180922,Both
umabonakude,umsakazo,semantic_within,technology,0.523584,0.61415,Both
abahlali,zikahulumeni,cooccurrence,freq=10,0.505818,0.523491,Both
"""nota""",esagiya,cooccurrence,freq=2,0.735811,0.661487,Both
vs,emapaki,random_unrelated,,0.284535,0.230721,Both
"awenzayo,",ngomsebenzi,cooccurrence,freq=2,0.502442,0.521465,Both
amanani,ezinto,cooccurrence,freq=2,0.321142,0.412685,Both
"ukubekezela,",ukunqwaha,morphological,class15_infinitive,0.340571,0.464343,Both
inyuvesi,isivivinyo,semantic_within,education,0.473147,0.583888,Both
njengoba,yokuphila.,cooccurrence,freq=2,0.117015,0.290209,Both
kudala.,307),random_unrelated,,0.281159,0.228696,Both
uzisayinele,yensizwa,random_unrelated,,0.347612,0.268567,Both
"kwabafundi,",saba,cooccurrence,freq=4,0.574749,0.564849,Both
emhlabeni,isanda,cooccurrence,freq=2,0.308545,0.405127,Both
zasemazweni,nenkinga,random_unrelated,,0.296267,0.23776,Both
ukuchuma,ukarabo,morphological,class15_infinitive,0.406117,0.50367,Both
ngajoyina,olwethu,random_unrelated,,0.252846,0.211708,Both
amaphoyisa,imidlalo,semantic_across,police_law_vs_sport,0.057264,0.154359,Both
abasubathi,abazobambelela,morphological,class2_plural,0.553928,0.592357,Both
isinkwa,ubisi,semantic_within,food,0.563185,0.637911,Both
ibaluleke,ilwe,morphological,class5_singular,0.254372,0.412623,Both
inkohlakalo,isizwe,semantic_within,government,0.435547,0.561328,Both
ilokishi,itheku,semantic_within,places,0.485899,0.59154,Both
ukuchuma,ukwamukele,morphological,class15_infinitive,0.416488,0.509893,Both
futhi,waba,cooccurrence,freq=2,0.131192,0.298715,Both
ababaningi,nebala,random_unrelated,,0.366416,0.27985,Both
kwezakhi,oluhlala,random_unrelated,,0.164802,0.158881,Both
ikhukhamba,umfana,semantic_across,food_vs_family,0.283836,0.290302,Both
ugesi,ulwa,morphological,class11,0.338492,0.463095,Both
ikzn.,iphimbo,morphological,class5_singular,0.280331,0.428199,Both
251),nokubambisana,cooccurrence,freq=2,0.74992,0.669952,Both
bayahlawuliswa,umemezele,random_unrelated,,0.443888,0.326333,Both
uqhawekazi,uyaqonda,morphological,class11,0.379469,0.487681,Both
abalingani,abasebancane,morphological,class2_plural,0.546977,0.588186,Both
usenona,ubuhlobo,morphological,class11,0.243681,0.406208,Both
uvezele,unosipho,morphological,class11,0.391242,0.494745,Both
isiza,"unakekeleke,",random_unrelated,,0.384434,0.29066,Both
ukuthokoza,ukungalaleli,morphological,class15_infinitive,0.234492,0.400695,Both
"amhlophe,",yambangela,random_unrelated,,0.408626,0.305176,Both
ave,ngaba,cooccurrence,freq=2,0.439428,0.483657,Both
isikole,incwadi,semantic_within,education,0.273404,0.464043,Both
okungalungile,ekusebenzeni,random_unrelated,,0.23445,0.20067,Both
alo,newusizo,random_unrelated,,0.371705,0.283023,Both
ithoyizi,ikulandela.,morphological,class5_singular,0.397281,0.498369,Both
ukuzinza,bamncomile,random_unrelated,,0.440432,0.324259,Both
elalelayo,zithuthukiswe,random_unrelated,,0.300381,0.240229,Both
umama,umlobi,morphological,class1_singular,0.557911,0.594747,Both
ezimfushane.,"obisini,",random_unrelated,,0.256683,0.21401,Both
"i-meyo,",iluthuli,morphological,class5_singular,0.376028,0.485617,Both
uzimisele,engango-r5,random_unrelated,,0.200343,0.180206,Both
zebandla,wangabhalisa,random_unrelated,,0.2644,0.21864,Both
necala,abawu-88.,random_unrelated,,0.262572,0.217543,Both
idlalela,ikwi-albhamu,morphological,class5_singular,0.403472,0.502083,Both
mhlangano,yile,cooccurrence,freq=2,0.357898,0.434739,Both
umuntu,izinja,semantic_across,family_vs_animals,0.320513,0.312308,Both
bavote,emkhandlwini,cooccurrence,freq=4,0.711606,0.646964,Both
nobungani.,nolusezingeni,random_unrelated,,0.272333,0.2234,Both
umncube,kunezikhalazo,random_unrelated,,0.328938,0.257363,Both
abantu,emfuleni,cooccurrence,freq=2,0.258281,0.374968,Both
auto.,118),random_unrelated,,0.418038,0.310823,Both
ukhuni,ukudlala,semantic_across,nature_vs_sport,0.29127,0.294762,Both
ubesebenza,okuhambisana,random_unrelated,,0.125671,0.135402,Both
lapho,yikuphi,cooccurrence,freq=8,0.376504,0.445902,Both
uthwala,ubhala,morphological,class11,0.496941,0.558165,Both
emqoka,ngoba,cooccurrence,freq=2,0.309586,0.405752,Both
umabonakude,theknoloji,semantic_within,technology,0.391174,0.534704,Both
engu-16,lokuthola,random_unrelated,,0.200311,0.180187,Both
ososayensi,sebekwazile,random_unrelated,,0.247596,0.208558,Both
komunye,yingxenye,cooccurrence,freq=2,0.359336,0.435602,Both
688),abayenzayo,random_unrelated,,0.357974,0.274785,Both
abasolwa,inkantolo,semantic_within,police_law,0.32787,0.496722,Both
"boardroom,",zokusingatha,cooccurrence,freq=2,0.645509,0.607305,Both
ibibukeka,isicelo,cooccurrence,freq=4,0.498978,0.519387,Both
ungazami,uwumholi,morphological,class11,0.469847,0.541908,Both
zithonywe,kukusiza,random_unrelated,,0.256036,0.213621,Both
edoonside,sakhe.,random_unrelated,,0.228067,0.19684,Both
sobabili,osishiye,random_unrelated,,0.596166,0.4177,Both
lakhe,amanazaretha,random_unrelated,,0.292281,0.235368,Both
"naso,”",iyodwa,random_unrelated,,0.374449,0.284669,Both
unikeza,ungaphazamiseki,morphological,class11,0.413738,0.508243,Both
ukudluliselwa,ukucosha,morphological,class15_infinitive,0.367868,0.480721,Both
nemiphumela,ngicela,cooccurrence,freq=2,0.449013,0.489408,Both
imeya,isizwe,semantic_within,government,0.290587,0.474352,Both
nemithi,usizo,cooccurrence,freq=2,0.34891,0.429346,Both
kufike,yaphoqeleka,cooccurrence,freq=2,0.622613,0.593568,Both
intuthuko,nasekubuyiseleni,cooccurrence,freq=2,0.51294,0.527764,Both
kancane,ngisho,cooccurrence,freq=2,0.202009,0.341205,Both
unosipho.,unomkhuhlane,morphological,class11,0.460762,0.536457,Both
kuyo.,nekhono,cooccurrence,freq=2,0.396668,0.458001,Both
ebukeka,endleleni,cooccurrence,freq=2,0.505007,0.523004,Both
umfazi,abantu,semantic_within,family,0.272398,0.463439,Both
mfowethu,abantu,semantic_within,family,0.126082,0.375649,Both
uchilize,usungathi,morphological,class11,0.459658,0.535795,Both
izinyawo,izobiza,morphological,class8_plural,0.402651,0.50159,Both
ngefomethi,wokuthulela,random_unrelated,,0.275417,0.22525,Both
nsuku,"obuhlaza,",cooccurrence,freq=2,0.419121,0.471473,Both
sokubuyela,"ngokuzikhandla,",random_unrelated,,0.232298,0.199379,Both
imifula,imvelo,semantic_within,nature,0.480897,0.588538,Both
abakufisayo,abasakazi,morphological,class2_plural,0.514403,0.568642,Both
lwezokumekatha,siphelele,cooccurrence,freq=2,0.400149,0.460089,Both
kunksz,lwakhula,cooccurrence,freq=2,0.516673,0.530004,Both
del,usekhona,random_unrelated,,0.424128,0.314477,Both
uqhele,ulalelwa,morphological,class11,0.260152,0.416091,Both
okusiqhatha,unkk,cooccurrence,freq=2,0.496847,0.518108,Both
ingoma,umbhalo,semantic_within,music,0.438126,0.562875,Both
bayazibuka,kanti,cooccurrence,freq=4,0.60764,0.584584,Both
ushintshe,u-r230.,morphological,class11,0.333909,0.460345,Both
izinhlaka,"izulu,",morphological,class8_plural,0.365801,0.479481,Both
ekuseni.,ukuphuza,cooccurrence,freq=2,0.394347,0.456608,Both
umfana,umndeni,semantic_within,family,0.409906,0.545943,Both
.,promotions,random_unrelated,,0.397724,0.298635,Both
ugelezela,"ezemvelo,",random_unrelated,,0.466775,0.340065,Both
imbuso,isho,random_unrelated,,0.306457,0.243874,Both
imidlalo,ukudlala,semantic_within,sport,0.451308,0.570785,Both
nakuba,ngojuni,cooccurrence,freq=2,0.333806,0.420283,Both
komhlaba.,ngokuhamba,cooccurrence,freq=2,0.368109,0.440865,Both
bafunda,sekhefu.,cooccurrence,freq=2,0.486905,0.512143,Both
oyisipesheli,wosomabhizinisi,random_unrelated,,0.316452,0.249871,Both
"endala,",ngaphambi,cooccurrence,freq=2,0.391631,0.454978,Both
"nozakwabo,","kwamahlamvu,",random_unrelated,,0.403445,0.302067,Both
kusho,kwebhola,cooccurrence,freq=2,0.304192,0.402515,Both
usuke,ufoster,morphological,class11,0.419068,0.511441,Both
ejele,sebheyili,cooccurrence,freq=4,0.649956,0.609973,Both
inja,ukhuni,semantic_across,animals_vs_nature,0.300811,0.300487,Both
icwecwe,umculi,semantic_within,music,0.561614,0.636968,Both
iqhaza,yezivakashi,cooccurrence,freq=2,0.480493,0.508296,Both
kusho,okuyiyona,random_unrelated,,0.230615,0.198369,Both
esikhona,ngeminyaka,cooccurrence,freq=2,0.31543,0.409258,Both
ogijima,oluhlaza,cooccurrence,freq=4,0.518246,0.530947,Both
ayinakho,amaphepha,random_unrelated,,0.183044,0.169826,Both
abantu,evimbela,cooccurrence,freq=2,0.270577,0.382346,Both
okungavotwa,baphumule.,random_unrelated,,0.303064,0.241839,Both
incwadi,umtapo,semantic_within,education,0.529717,0.61783,Both
embukisweni,ukulinda,random_unrelated,,0.318705,0.251223,Both
amagoli,amathathu.,morphological,class6_plural,0.544124,0.586474,Both
bejabulela,lwabo,cooccurrence,freq=2,0.418785,0.471271,Both
umntwana,umqeqeshi,morphological,class1_singular,0.272275,0.423365,Both
obuluhlaza,igama,random_unrelated,,0.180313,0.168188,Both
kangakanani.,nezihluba,cooccurrence,freq=2,0.473688,0.504213,Both
elithi,notee,cooccurrence,freq=2,0.534473,0.540684,Both
uviggy,uhlolele,morphological,class11,0.40337,0.502022,Both
isikole,umfundi,semantic_within,education,0.34438,0.506628,Both
ijabule,ibihlolwa,morphological,class5_singular,0.289972,0.433983,Both
e-afrika,asolwandle,random_unrelated,,0.225928,0.195557,Both
nokuba,negagasi,random_unrelated,,0.193389,0.176034,Both
udokotela,impilo,semantic_within,health,0.218046,0.430827,Both
ingoma,umrepha,semantic_within,music,0.371016,0.52261,Both
abahambi,ukuminza,random_unrelated,,0.387489,0.292493,Both
bakhethe,bazinike,cooccurrence,freq=2,0.544494,0.546697,Both
kuyolamula,school,cooccurrence,freq=2,0.590694,0.574416,Both
"zezindaba,",beqaphile,random_unrelated,,0.352034,0.271221,Both
"abandayo,",abanamakhono,morphological,class2_plural,0.48881,0.553286,Both
abasebenza,abakwazi,morphological,class2_plural,0.385168,0.491101,Both
ubizo,ungafuni,morphological,class11,0.351869,0.471122,Both
uyawuthola,u-r32,morphological,class11,0.36551,0.479306,Both
nezinkinga,ukuba,cooccurrence,freq=2,0.242295,0.365377,Both
"aluhlaza,",sendawo,random_unrelated,,0.345832,0.267499,Both
ibhotela,indishi,semantic_within,food,0.450502,0.570301,Both
uqikelele,ugxile,morphological,class11,0.347424,0.468454,Both
isikole,iphepha,semantic_within,education,0.295887,0.477532,Both
bayifake,"line,",random_unrelated,,0.249416,0.20965,Both
"ufuna,",ubuhlobo,morphological,class11,0.175911,0.365546,Both
edlule.,"ezemfundo,",random_unrelated,,0.268992,0.221395,Both
yingaleso,uyikhiphe,random_unrelated,,0.409722,0.305833,Both
phakama,642),random_unrelated,,0.368753,0.281252,Both
afune,ubathintile,random_unrelated,,0.251201,0.210721,Both
upheka,ucashunwe,morphological,class11,0.36401,0.478406,Both
lokuthi,nginethemba,cooccurrence,freq=2,0.312147,0.407288,Both
usanethuba,ugabe,morphological,class11,0.345108,0.467065,Both
ekuhoxisweni,elingangenisela,random_unrelated,,0.509165,0.365499,Both
ukuhlela,ukholo,morphological,class15_infinitive,0.382832,0.489699,Both
ne-electronic,ziyabuka,random_unrelated,,0.262483,0.21749,Both
ngokumthumelela,nomengo,cooccurrence,freq=2,0.61642,0.589852,Both
unina,u-r120.,morphological,class11,0.431359,0.518815,Both
iqhude,izilwane,semantic_within,animals,0.292484,0.475491,Both
nothando,esouth,random_unrelated,,0.307463,0.244478,Both
abenza,ngabantu,cooccurrence,freq=2,0.394615,0.456769,Both
kumaveji,kuya,cooccurrence,freq=2,0.651198,0.610719,Both
ibingadlalisi,ikhumalo's,morphological,class5_singular,0.463048,0.537829,Both
ukonga,idola,semantic_within,money,0.366422,0.519853,Both
lwaqala,kumngane,random_unrelated,,0.308191,0.244914,Both
uphiko,ufikele,morphological,class11,0.427745,0.516647,Both
izindlu,"yezokwakha,",cooccurrence,freq=2,0.523373,0.534024,Both
iboshwe,se-agro-processing,random_unrelated,,0.545857,0.387514,Both
ingaxhuma,"ngayinye,",random_unrelated,,0.311364,0.246818,Both
(isisho,982),cooccurrence,freq=2,0.839497,0.723698,Both
kufukulwe,lokuthi,cooccurrence,freq=4,0.466001,0.499601,Both
